run_label,scenario,algo,frame_stack,observation_version,policy_role,policy_name,reward_total_mean,fill_rate_mean,backorder_rate_mean,ret_thesis_corrected_total_mean
ppo_fs1_v2,severe,ppo,1,v2,learned,ppo,-831.9512955636607,0.20750396506963648,0.7924960349303635,229.5392765888449
ppo_fs4_v1,increased,ppo,4,v1,static,static_s1,-356.8101546015124,0.6516280825263177,0.3483719174736824,242.99200661128307
ppo_fs4_v1,increased,ppo,4,v1,static,static_s2,-171.35247163859816,0.8361561149878657,0.1638438850121342,243.0354559935081
ppo_fs4_v1,increased,ppo,4,v1,static,static_s3,-178.08742827833896,0.834747291760463,0.16525270823953694,242.94018705210118
ppo_fs4_v1,increased,ppo,4,v1,heuristic,heuristic_hysteresis,-178.08742827833896,0.834747291760463,0.16525270823953694,242.94018705210118
ppo_fs4_v1,increased,ppo,4,v1,heuristic,heuristic_disruption,-180.2622174653878,0.8288870872644463,0.17111291273555382,242.98014633793818
ppo_fs4_v1,increased,ppo,4,v1,heuristic,heuristic_tuned,-179.63435976728016,0.8330908217207549,0.1669091782792451,242.98877819808678
ppo_fs4_v1,increased,ppo,4,v1,random,random,-174.19519443054426,0.8334783148162922,0.1665216851837079,242.91295525591914
ppo_fs4_v1,increased,ppo,4,v1,learned,ppo,-650.9339347021192,0.3789352983974362,0.6210647016025639,242.58687927716124
ppo_fs4_v1,severe,ppo,4,v1,static,static_s1,-564.6955916957287,0.4518181790217094,0.5481818209782907,230.8462834242329
