tape_id,family,relative_time,category,imbalance,prefix_hash,sb_inventory,allocation_a,service_rule_spt_full,service_rule_fifo_partial,service_rule_r24_age_partial,day_phase,cssu_A_inventory,cssu_A_inbound,cssu_A_outbound,cssu_A_backlog_qty,cssu_A_backlog_count,cssu_A_max_age,cssu_A_r24_share,cssu_A_demand_1d,cssu_A_demand_7d,cssu_A_delivered_7d,cssu_A_op10_up,cssu_A_op11_up,cssu_A_op12_up,cssu_B_inventory,cssu_B_inbound,cssu_B_outbound,cssu_B_backlog_qty,cssu_B_backlog_count,cssu_B_max_age,cssu_B_r24_share,cssu_B_demand_1d,cssu_B_demand_7d,cssu_B_delivered_7d,cssu_B_op10_up,cssu_B_op11_up,cssu_B_op12_up
dra1-cal-r22_localized-830023,r22_localized,10848.0,post_hit_recovery,114663.0,faa8a0d6e4ce4454e481e0ba73646b4e724cffdfbd054eb5c0605f968c385299,57436.0,0.25,1.0,0.0,0.0,0.19047619047619047,0.0,0.0,0.0,132650.0,52.0,10536.0,0.0,2404.0,12599.0,7527.0,1.0,1.0,1.0,0.0,2551.0,0.0,17987.0,7.0,10176.0,0.0,0.0,2551.0,0.0,1.0,1.0,1.0
dra1-cal-r22_localized-830024,r22_localized,15120.0,post_hit_recovery,99538.0,3f6e3331530c676936ff55ffa872c57fd2f7b3ea596c0947aaa7d7d7ab341860,49916.0,0.25,1.0,0.0,0.0,0.6190476190476191,0.0,0.0,0.0,125249.0,49.0,14016.0,0.0,0.0,9862.0,12282.0,1.0,1.0,1.0,0.0,2418.0,0.0,25711.0,10.0,15048.0,0.0,2418.0,4965.0,0.0,1.0,1.0,1.0
dra1-cal-r22_localized-830025,r22_localized,14664.0,post_hit_recovery,78704.0,dac4e1d6700b88cefe66a9606755ec7ba78bcc608cddb1d22642738837e96574,37528.0,0.25,1.0,0.0,0.0,0.9047619047619048,0.0,0.0,0.0,114628.0,45.0,13632.0,0.0,2521.0,9994.0,7372.0,1.0,1.0,1.0,0.0,2558.0,2547.0,35924.0,14.0,7440.0,0.0,0.0,5035.0,5042.0,1.0,1.0,1.0
dra1-cal-r22_localized-830026,r22_localized,16512.0,post_hit_recovery,119816.0,27fea660fa812e9c95fcc5cfe24056fde2daff022d0f610d550f18cf441238b7,94558.0,0.25,1.0,0.0,0.0,0.9047619047619048,0.0,0.0,0.0,135235.0,53.0,14688.0,0.0,0.0,10187.0,2499.0,1.0,1.0,1.0,0.0,2448.0,0.0,15419.0,6.0,14232.0,0.0,2448.0,4999.0,5077.0,1.0,1.0,1.0
dra1-cal-r22_localized-830027,r22_localized,8064.0,post_hit_recovery,104290.0,ab8fb78519c78f2ff7112bc32aa3aa85b876f285149b350913a7ef29e9621ac9,40137.0,0.25,1.0,0.0,0.0,0.6190476190476191,0.0,0.0,0.0,127492.0,50.0,7968.0,0.0,2411.0,9693.0,7381.0,1.0,1.0,1.0,0.0,2491.0,0.0,23202.0,9.0,7272.0,0.0,0.0,4912.0,4847.0,1.0,1.0,1.0
dra1-cal-r22_localized-830028,r22_localized,16632.0,post_hit_recovery,139961.0,b412570587e95bbe06b5ebc2131f7a3362b0a9ee5e5f6bd5de9594cf0b4e0393,125316.0,0.25,1.0,0.0,0.0,0.6190476190476191,0.0,0.0,2455.0,145044.0,57.0,15984.0,0.0,2556.0,7514.0,4953.0,1.0,1.0,1.0,0.0,2507.0,0.0,5083.0,2.0,1728.0,0.0,0.0,7445.0,4932.0,1.0,1.0,1.0
dra1-cal-r22_localized-830029,r22_localized,12648.0,post_hit_recovery,145304.0,f03a06efedf51a38d8680b38c8b9fd5d06fae2f7a1af5accfade93c3e6556b60,67194.0,0.25,1.0,0.0,0.0,0.9047619047619048,0.0,0.0,0.0,147811.0,58.0,12312.0,0.0,2457.0,12425.0,7324.0,1.0,1.0,1.0,0.0,2460.0,0.0,2507.0,1.0,120.0,0.0,0.0,2507.0,0.0,1.0,1.0,1.0
dra1-cal-r22_localized-830030,r22_localized,9312.0,post_hit_recovery,60969.0,1d159b240ac0de201fb668bcc154bcd5a6e26ab3613508620fdc9532013ba06e,65339.0,0.25,1.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,104605.0,41.0,8952.0,0.0,0.0,7448.0,4990.0,1.0,1.0,1.0,0.0,2466.0,2458.0,43636.0,17.0,8496.0,0.0,0.0,7506.0,5117.0,1.0,1.0,1.0
dra1-cal-r23_localized-830031,r23_localized,15552.0,post_hit_recovery,50661.0,ab2e074d3f87ff18ab7823d55fb245c4cffa252b0e7c7f63e158641d4d3ba830,82368.0,0.25,1.0,0.0,0.0,0.19047619047619047,0.0,0.0,2495.0,99499.0,39.0,15480.0,0.0,2485.0,9960.0,4902.0,1.0,1.0,1.0,0.0,2554.0,0.0,48838.0,19.0,12000.0,0.0,0.0,4893.0,9786.0,1.0,1.0,1.0
dra1-cal-r23_localized-830032,r23_localized,15504.0,post_hit_recovery,129788.0,b6aab4b440f2b1f2cbbd9d98caf4dd78f00baeac2ece06349acfe038bcb6190b,94869.0,0.25,1.0,0.0,0.0,0.9047619047619048,0.0,0.0,0.0,139905.0,55.0,12216.0,0.0,2404.0,2404.0,7301.0,1.0,1.0,1.0,0.0,2466.0,0.0,10117.0,4.0,144.0,0.0,0.0,12583.0,2567.0,1.0,1.0,1.0
dra1-cal-r23_localized-830033,r23_localized,15192.0,post_hit_recovery,104193.0,f57eb40d595f8364d94d0a4f8b52a3f586a826046085d3da4b312d1a2162cbb0,85649.0,0.25,1.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,127212.0,50.0,15168.0,0.0,0.0,7454.0,7395.0,1.0,1.0,1.0,0.0,2537.0,0.0,23019.0,9.0,2064.0,0.0,0.0,7691.0,2521.0,1.0,1.0,1.0
dra1-cal-r23_localized-830034,r23_localized,11520.0,post_hit_recovery,73766.0,8b7844e93f054b35b5e5da98b9fca71ec9b1361bdb01eda35e0b5f69b170d79c,80781.0,0.25,1.0,0.0,0.0,0.19047619047619047,0.0,0.0,0.0,112140.0,44.0,11448.0,0.0,0.0,7356.0,2425.0,1.0,1.0,1.0,0.0,2468.0,0.0,38374.0,15.0,8424.0,0.0,2491.0,7555.0,0.0,1.0,1.0,1.0
dra1-cal-r23_localized-830035,r23_localized,12168.0,post_hit_recovery,91902.0,e5667fb890adcea9160553448789a432058b7b8addb88b69d3dbc3b86cc5060c,55520.0,0.25,1.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,120198.0,47.0,11856.0,0.0,0.0,7322.0,4864.0,1.0,1.0,1.0,0.0,2541.0,2479.0,28296.0,11.0,10392.0,0.0,0.0,7497.0,4898.0,1.0,1.0,1.0
dra1-cal-r23_localized-830036,r23_localized,14376.0,post_hit_recovery,101728.0,89fc7709fa103738bc209fea24085177cbfbd1a5a3f81425e54f01783f964e66,39769.0,0.25,1.0,0.0,0.0,0.19047619047619047,0.0,0.0,2403.0,124798.0,49.0,13704.0,0.0,2557.0,7541.0,2480.0,1.0,1.0,1.0,0.0,2548.0,0.0,23070.0,9.0,7584.0,0.0,0.0,7527.0,10024.0,1.0,1.0,1.0
dra1-cal-r23_localized-830037,r23_localized,11232.0,post_hit_recovery,99226.0,ae782297cdfa9cc83f7930f1178e0ffbca00a24a3c135249678f3ef559f7a41d,56043.0,0.25,1.0,0.0,0.0,0.47619047619047616,0.0,0.0,0.0,124930.0,49.0,10992.0,0.0,0.0,7473.0,7385.0,1.0,1.0,1.0,0.0,2449.0,0.0,25704.0,10.0,9864.0,0.0,2449.0,7446.0,7468.0,1.0,1.0,1.0
dra1-cal-r23_localized-830038,r23_localized,8376.0,post_hit_recovery,48197.0,06993eb150c44bc7116e283c4084d46e01839652bf9a1f52e1a14619280cde74,47998.0,0.25,1.0,0.0,0.0,0.47619047619047616,0.0,0.0,0.0,99697.0,39.0,8256.0,0.0,2428.0,9801.0,7282.0,1.0,1.0,1.0,0.0,2515.0,2421.0,51500.0,20.0,5952.0,0.0,0.0,4936.0,0.0,1.0,1.0,1.0
dra1-cal-r23_localized-830039,r23_localized,4992.0,post_hit_recovery,32901.0,fb11fffab6220314fc9d9cc669cec6941de0d77a13569c8759124ade93ee3757,18181.0,0.25,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,2501.0,66467.0,26.0,4752.0,0.0,2514.0,10213.0,5000.0,1.0,1.0,1.0,0.0,2465.0,0.0,33566.0,13.0,4056.0,0.0,0.0,4920.0,27016.0,1.0,1.0,1.0
