state_id,campaign_id,campaign_sha256,family,risk_level,buffer_level,reference_shift,decision_week,branch_action,branch_shift,late_backlog_hours_increment,total_backlog_hours_increment,shift_hours_increment,extra_shift_hours_increment,ret_excel_final,obs_buffer_level_fraction,obs_effective_shift_fraction,obs_pending_shift_fraction,obs_raw_material_wdc,obs_raw_material_al,obs_rations_al,obs_rations_sb,obs_rations_sb_dispatch,obs_rations_cssu,obs_rations_theatre,obs_pending_batch,obs_in_transit,obs_pending_backorder_qty,obs_pending_backorder_count,obs_oldest_backorder_age_hours,obs_previous_week_demanded,obs_previous_week_produced,obs_previous_week_delivered,obs_rolling_fill_rate_4w,obs_previous_week_capacity_utilization,obs_fraction_operations_down,obs_previous_week_downtime_hours,obs_week_phase_sin,obs_week_phase_cos
I0:l-cal-003-700003:w1,l-cal-003-700003,2eebdaf7fea5f925f3437064c95f91168f6d0bda3b8c3a8436c19a6b05662450,R1,increased,0,2,1,2,3,5438072.0,8316032.0,1512.0,840.0,0.004679531272046861,0.0,0.0,0.5,1921332.0,141972.0,0.0,2472.0,0.0,0.0,0.0,3058.0,5058.0,0.0,0.0,0.0,12528.0,10366.0,7470.0,1.0,0.703113317489624,0.0,4.883963108062744,0.1205366775393486,0.9927088618278503
I0:l-cal-003-700003:w99,l-cal-003-700003,2eebdaf7fea5f925f3437064c95f91168f6d0bda3b8c3a8436c19a6b05662450,R1,increased,0,2,99,0,1,198281882.0,201147890.0,1176.0,504.0,0.004169852527323206,0.0,0.5,0.5,2094000.0,40374.0,0.0,2799.0,0.0,0.0,0.0,4524.5,7496.0,151572.0,59.0,15048.0,15139.0,12135.5,12482.0,0.6582019329071045,0.4302758574485779,0.07692307978868484,272.049072265625,-0.5680647492408752,0.8229838609695435
I0:l-cal-003-700003:w99,l-cal-003-700003,2eebdaf7fea5f925f3437064c95f91168f6d0bda3b8c3a8436c19a6b05662450,R1,increased,0,2,99,1,2,197902520.0,200768528.0,1344.0,672.0,0.004172077389513368,0.0,0.5,0.5,2094000.0,40374.0,0.0,2799.0,0.0,0.0,0.0,4524.5,7496.0,151572.0,59.0,15048.0,15139.0,12135.5,12482.0,0.6582019329071045,0.4302758574485779,0.07692307978868484,272.049072265625,-0.5680647492408752,0.8229838609695435
I0:l-cal-003-700003:w99,l-cal-003-700003,2eebdaf7fea5f925f3437064c95f91168f6d0bda3b8c3a8436c19a6b05662450,R1,increased,0,2,99,2,3,198993108.0,201859116.0,1512.0,840.0,0.004139316049656478,0.0,0.5,0.5,2094000.0,40374.0,0.0,2799.0,0.0,0.0,0.0,4524.5,7496.0,151572.0,59.0,15048.0,15139.0,12135.5,12482.0,0.6582019329071045,0.4302758574485779,0.07692307978868484,272.049072265625,-0.5680647492408752,0.8229838609695435
I0:l-cal-004-700004:w1,l-cal-004-700004,e7d29e0d87343f04437ca0d74d6374aa33187b4d556ad0e2fd1b837670bcfe59,R2,increased,0,2,1,0,1,6724183.0,9981583.0,1176.0,504.0,0.004446846292735332,0.0,0.0,0.5,1909392.0,153840.0,0.0,2474.0,0.0,0.0,0.0,3064.0,7527.0,0.0,0.0,0.0,12526.0,10372.0,4999.0,1.0,0.6742069721221924,0.1538461595773697,42.0,0.1205366775393486,0.9927088618278503
I0:l-cal-004-700004:w1,l-cal-004-700004,e7d29e0d87343f04437ca0d74d6374aa33187b4d556ad0e2fd1b837670bcfe59,R2,increased,0,2,1,1,2,6602071.0,9859471.0,1344.0,672.0,0.004446846292735332,0.0,0.0,0.5,1909392.0,153840.0,0.0,2474.0,0.0,0.0,0.0,3064.0,7527.0,0.0,0.0,0.0,12526.0,10372.0,4999.0,1.0,0.6742069721221924,0.1538461595773697,42.0,0.1205366775393486,0.9927088618278503
I0:l-cal-004-700004:w1,l-cal-004-700004,e7d29e0d87343f04437ca0d74d6374aa33187b4d556ad0e2fd1b837670bcfe59,R2,increased,0,2,1,2,3,7216751.0,10474151.0,1512.0,840.0,0.004446846292735332,0.0,0.0,0.5,1909392.0,153840.0,0.0,2474.0,0.0,0.0,0.0,3064.0,7527.0,0.0,0.0,0.0,12526.0,10372.0,4999.0,1.0,0.6742069721221924,0.1538461595773697,42.0,0.1205366775393486,0.9927088618278503
I0:l-cal-004-700004:w99,l-cal-004-700004,e7d29e0d87343f04437ca0d74d6374aa33187b4d556ad0e2fd1b837670bcfe59,R2,increased,0,2,99,0,1,339996734.0,343137854.0,1176.0,504.0,0.05453521499155545,0.0,0.5,0.5,2094000.0,0.0,0.0,5831.0,0.0,0.0,0.0,3139.5,4804.0,149612.0,59.0,14088.0,17316.0,15500.0,12412.0,0.5690733790397644,0.5037701725959778,0.0,0.0,-0.5680647492408752,0.8229838609695435
I0:l-cal-004-700004:w99,l-cal-004-700004,e7d29e0d87343f04437ca0d74d6374aa33187b4d556ad0e2fd1b837670bcfe59,R2,increased,0,2,99,1,2,339996734.0,343137854.0,1344.0,672.0,0.05453521499155545,0.0,0.5,0.5,2094000.0,0.0,0.0,5831.0,0.0,0.0,0.0,3139.5,4804.0,149612.0,59.0,14088.0,17316.0,15500.0,12412.0,0.5690733790397644,0.5037701725959778,0.0,0.0,-0.5680647492408752,0.8229838609695435
I0:l-cal-004-700004:w99,l-cal-004-700004,e7d29e0d87343f04437ca0d74d6374aa33187b4d556ad0e2fd1b837670bcfe59,R2,increased,0,2,99,2,3,340729964.0,343871084.0,1512.0,840.0,0.054528019089431515,0.0,0.5,0.5,2094000.0,0.0,0.0,5831.0,0.0,0.0,0.0,3139.5,4804.0,149612.0,59.0,14088.0,17316.0,15500.0,12412.0,0.5690733790397644,0.5037701725959778,0.0,0.0,-0.5680647492408752,0.8229838609695435
