state_id,campaign_id,buffer_level,reference_action,optimal_action,budget_lambda,obs_buffer_level_fraction,obs_effective_shift_fraction,obs_pending_shift_fraction,obs_raw_material_wdc,obs_raw_material_al,obs_rations_al,obs_rations_sb,obs_rations_sb_dispatch,obs_rations_cssu,obs_rations_theatre,obs_pending_batch,obs_in_transit,obs_pending_backorder_qty,obs_pending_backorder_count,obs_oldest_backorder_age_hours,obs_previous_week_demanded,obs_previous_week_produced,obs_previous_week_delivered,obs_rolling_fill_rate_4w,obs_previous_week_capacity_utilization,obs_fraction_operations_down,obs_previous_week_downtime_hours,obs_week_phase_sin,obs_week_phase_cos
I1344:l-cal-005-700005:w99,l-cal-005-700005,1344,0,0,0.0,1.0,0.0,0.0,1914390.0,1273020.0,0.0,110792.0,0.0,0.0,0.0,1308.0,10061.0,0.0,0.0,0.0,17743.0,14072.5,17663.0,1.0,0.9342118501663208,0.07692307978868484,269.1622314453125,-0.5680647492408752,0.8229838609695435
I1344:l-cal-006-700006:w1,l-cal-006-700006,1344,0,0,0.0,1.0,0.0,0.0,1294650.0,1380618.0,0.0,133692.0,0.0,0.0,0.0,2821.0,4892.0,0.0,0.0,0.0,12308.0,15129.0,7416.0,1.0,0.9834243655204773,0.0,1.7909899950027466,0.1205366775393486,0.9927088618278503
I1344:l-cal-006-700006:w99,l-cal-006-700006,1344,0,0,0.0,1.0,0.0,0.0,2070288.0,1411134.0,0.0,123692.0,0.0,0.0,0.0,1319.5,9950.0,0.0,0.0,0.0,14901.0,15060.0,14936.0,1.0,0.9789391756057739,0.0,25.0,-0.5680647492408752,0.8229838609695435
I1344:l-cal-007-700007:w1,l-cal-007-700007,1344,0,0,0.0,1.0,0.0,0.0,1293798.0,1378410.0,0.0,133475.0,0.0,0.0,0.0,3076.0,5076.0,0.0,0.0,0.0,12525.0,15384.0,7449.0,1.0,1.0,0.0,0.0,0.1205366775393486,0.9927088618278503
I1344:l-cal-007-700007:w99,l-cal-007-700007,1344,0,0,0.0,1.0,0.0,0.0,2280000.0,1193802.0,0.0,121639.0,0.0,0.0,0.0,68.0,10081.0,0.0,0.0,0.0,17595.0,15384.0,17509.0,1.0,1.0,0.0,0.0,-0.5680647492408752,0.8229838609695435
I1344:l-cal-008-700008:w1,l-cal-008-700008,1344,0,0,0.0,1.0,0.0,0.0,1294578.0,1380270.0,0.0,133666.0,0.0,0.0,0.0,2856.0,4992.0,0.0,0.0,0.0,12334.0,15164.0,7342.0,1.0,0.9856994152069092,0.0,21.737348556518555,0.1205366775393486,0.9927088618278503
I1344:l-cal-008-700008:w99,l-cal-008-700008,1344,0,0,0.0,1.0,0.0,0.0,1713270.0,1410906.0,0.0,118505.0,0.0,0.0,0.0,4193.0,5092.0,0.0,0.0,0.0,14845.0,15003.0,14803.0,1.0,0.9752340316772461,0.0,25.42615509033203,-0.5680647492408752,0.8229838609695435
I1344:l-cal-009-700009:w1,l-cal-009-700009,1344,0,0,0.0,1.0,0.0,0.0,1296270.0,1399434.0,0.0,128252.0,0.0,0.0,0.0,1118.0,10042.0,0.0,0.0,0.0,12748.0,13426.0,7706.0,1.0,0.9520635604858398,0.0,8.787145614624023,0.1205366775393486,0.9927088618278503
I1344:l-cal-009-700009:w99,l-cal-009-700009,1344,0,0,0.0,1.0,0.0,0.0,2083422.0,1414038.0,0.0,118140.0,0.0,0.0,0.0,1298.5,10113.0,0.0,0.0,0.0,15027.0,14562.0,14950.0,1.0,0.9465678334236145,0.07692307978868484,172.0,-0.5680647492408752,0.8229838609695435
I1344:l-cal-010-700010:w1,l-cal-010-700010,1344,0,0,0.0,1.0,0.0,0.0,1293798.0,1378410.0,0.0,130601.0,0.0,0.0,0.0,3076.0,5134.0,0.0,0.0,0.0,15399.0,15384.0,10265.0,1.0,1.0,0.0,0.0,0.1205366775393486,0.9927088618278503
I1344:l-cal-010-700010:w99,l-cal-010-700010,1344,0,0,0.0,1.0,0.0,0.0,2280000.0,1316874.0,0.0,111476.0,0.0,0.0,0.0,648.5,9904.0,43595.0,17.0,1512.0,17288.0,15384.0,19969.0,0.8411999940872192,1.0,0.0,36.62137985229492,-0.5680647492408752,0.8229838609695435
I1344:l-cal-011-700011:w1,l-cal-011-700011,1344,0,0,0.0,1.0,0.0,0.0,1303938.0,1395240.0,0.0,128494.0,0.0,0.0,0.0,828.5,10063.0,0.0,0.0,0.0,12506.0,13136.5,7443.0,1.0,0.9531981348991394,0.0,15.025193214416504,0.1205366775393486,0.9927088618278503
I1344:l-cal-011-700011:w99,l-cal-011-700011,1344,0,0,0.0,1.0,0.0,0.0,1827816.0,1397532.0,0.0,113881.0,0.0,0.0,0.0,1344.5,12365.0,0.0,0.0,0.0,17427.0,13780.5,15098.0,1.0,0.9554862380027771,0.07692307978868484,244.4748077392578,-0.5680647492408752,0.8229838609695435
I1344:l-cal-012-700012:w1,l-cal-012-700012,1344,0,0,0.0,1.0,0.0,0.0,1294710.0,1380510.0,0.0,133514.0,0.0,0.0,0.0,2825.0,4943.0,0.0,0.0,0.0,12486.0,15133.0,7543.0,1.0,0.9836843609809875,0.0,1.0,0.1205366775393486,0.9927088618278503
I1344:l-cal-012-700012:w99,l-cal-012-700012,1344,0,0,0.0,1.0,0.0,0.0,1837620.0,1418766.0,0.0,123814.0,0.0,0.0,0.0,4973.0,5019.0,0.0,0.0,0.0,14946.0,14427.0,14877.0,1.0,0.9785661101341248,0.0,49.01118850708008,-0.5680647492408752,0.8229838609695435
I1344:l-cal-013-700013:w1,l-cal-013-700013,1344,0,0,0.0,1.0,0.0,0.0,1293798.0,1378410.0,0.0,133410.0,0.0,0.0,0.0,3076.0,4903.0,0.0,0.0,0.0,12590.0,15384.0,7687.0,1.0,1.0,0.0,0.0,0.1205366775393486,0.9927088618278503
I1344:l-cal-013-700013:w99,l-cal-013-700013,1344,0,0,0.0,1.0,0.0,0.0,2280000.0,1378410.0,0.0,120518.0,0.0,0.0,0.0,581.0,12678.0,0.0,0.0,0.0,17672.0,15384.0,15101.0,1.0,1.0,0.0,0.0,-0.5680647492408752,0.8229838609695435
