cell_id,tape_id,state_id,state_week,prefix,action,ret,service,lost,observation,mass
FSC-01,program-f-phase-screen-equipment_pressure-970001,program-f-phase-screen-equipment_pressure-970001|w6|p102,6,102,210,0.13985707733946928,8537551.0,0.0,"{""active_m"": 1.0, ""active_r"": 2.0, ""active_t"": 0.0, ""backlog_count"": 5.0, ""backlog_qty"": 12824.0, ""equipment_condition"": 0.0, ""equipment_condition_score"": 0.1, ""mission_tempo_score"": 0.8, ""pending_m"": 1.0, ""pending_r"": 2.0, ""pending_t"": 0.0, ""recent_damage_hours"": 66.51128046461312, ""recent_r11_count"": 12.0, ""recent_r24_count"": 1.0, ""recent_transport_attack_count"": 0.0, ""reserve_inventory"": 7557.0, ""route_threat_score"": 0.1, ""sb_inventory"": 729.0, ""week_phase"": 0.1935483870967742}",0.0
FSC-01,program-f-phase-screen-equipment_pressure-970001,program-f-phase-screen-equipment_pressure-970001|w11|p111,11,111,012,0.05706461187047684,8549197.0,0.0,"{""active_m"": 1.0, ""active_r"": 1.0, ""active_t"": 1.0, ""backlog_count"": 13.0, ""backlog_qty"": 33274.0, ""equipment_condition"": 0.0, ""equipment_condition_score"": 0.1, ""mission_tempo_score"": 0.8, ""pending_m"": 1.0, ""pending_r"": 1.0, ""pending_t"": 1.0, ""recent_damage_hours"": 6.730412315990032, ""recent_r11_count"": 5.0, ""recent_r24_count"": 1.0, ""recent_transport_attack_count"": 0.0, ""reserve_inventory"": 8000.0, ""route_threat_score"": 0.1, ""sb_inventory"": 3294.0, ""week_phase"": 0.3548387096774194}",0.0
FSC-01,program-f-phase-screen-equipment_pressure-970001,program-f-phase-screen-equipment_pressure-970001|w11|p111,11,111,021,0.05706461187047684,8549197.0,0.0,"{""active_m"": 1.0, ""active_r"": 1.0, ""active_t"": 1.0, ""backlog_count"": 13.0, ""backlog_qty"": 33274.0, ""equipment_condition"": 0.0, ""equipment_condition_score"": 0.1, ""mission_tempo_score"": 0.8, ""pending_m"": 1.0, ""pending_r"": 1.0, ""pending_t"": 1.0, ""recent_damage_hours"": 6.730412315990032, ""recent_r11_count"": 5.0, ""recent_r24_count"": 1.0, ""recent_transport_attack_count"": 0.0, ""reserve_inventory"": 8000.0, ""route_threat_score"": 0.1, ""sb_inventory"": 3294.0, ""week_phase"": 0.3548387096774194}",0.0
FSC-01,program-f-phase-screen-equipment_pressure-970001,program-f-phase-screen-equipment_pressure-970001|w11|p111,11,111,102,0.053267749666824564,8488129.0,0.0,"{""active_m"": 1.0, ""active_r"": 1.0, ""active_t"": 1.0, ""backlog_count"": 13.0, ""backlog_qty"": 33274.0, ""equipment_condition"": 0.0, ""equipment_condition_score"": 0.1, ""mission_tempo_score"": 0.8, ""pending_m"": 1.0, ""pending_r"": 1.0, ""pending_t"": 1.0, ""recent_damage_hours"": 6.730412315990032, ""recent_r11_count"": 5.0, ""recent_r24_count"": 1.0, ""recent_transport_attack_count"": 0.0, ""reserve_inventory"": 8000.0, ""route_threat_score"": 0.1, ""sb_inventory"": 3294.0, ""week_phase"": 0.3548387096774194}",0.0
FSC-01,program-f-phase-screen-equipment_pressure-970001,program-f-phase-screen-equipment_pressure-970001|w11|p111,11,111,111,0.053267749666824564,8488129.0,0.0,"{""active_m"": 1.0, ""active_r"": 1.0, ""active_t"": 1.0, ""backlog_count"": 13.0, ""backlog_qty"": 33274.0, ""equipment_condition"": 0.0, ""equipment_condition_score"": 0.1, ""mission_tempo_score"": 0.8, ""pending_m"": 1.0, ""pending_r"": 1.0, ""pending_t"": 1.0, ""recent_damage_hours"": 6.730412315990032, ""recent_r11_count"": 5.0, ""recent_r24_count"": 1.0, ""recent_transport_attack_count"": 0.0, ""reserve_inventory"": 8000.0, ""route_threat_score"": 0.1, ""sb_inventory"": 3294.0, ""week_phase"": 0.3548387096774194}",0.0
FSC-01,program-f-phase-screen-equipment_pressure-970001,program-f-phase-screen-equipment_pressure-970001|w11|p111,11,111,120,0.05684110656222577,8788669.0,0.0,"{""active_m"": 1.0, ""active_r"": 1.0, ""active_t"": 1.0, ""backlog_count"": 13.0, ""backlog_qty"": 33274.0, ""equipment_condition"": 0.0, ""equipment_condition_score"": 0.1, ""mission_tempo_score"": 0.8, ""pending_m"": 1.0, ""pending_r"": 1.0, ""pending_t"": 1.0, ""recent_damage_hours"": 6.730412315990032, ""recent_r11_count"": 5.0, ""recent_r24_count"": 1.0, ""recent_transport_attack_count"": 0.0, ""reserve_inventory"": 8000.0, ""route_threat_score"": 0.1, ""sb_inventory"": 3294.0, ""week_phase"": 0.3548387096774194}",0.0
FSC-01,program-f-phase-screen-equipment_pressure-970001,program-f-phase-screen-equipment_pressure-970001|w11|p111,11,111,201,0.05740015241020012,8906749.0,0.0,"{""active_m"": 1.0, ""active_r"": 1.0, ""active_t"": 1.0, ""backlog_count"": 13.0, ""backlog_qty"": 33274.0, ""equipment_condition"": 0.0, ""equipment_condition_score"": 0.1, ""mission_tempo_score"": 0.8, ""pending_m"": 1.0, ""pending_r"": 1.0, ""pending_t"": 1.0, ""recent_damage_hours"": 6.730412315990032, ""recent_r11_count"": 5.0, ""recent_r24_count"": 1.0, ""recent_transport_attack_count"": 0.0, ""reserve_inventory"": 8000.0, ""route_threat_score"": 0.1, ""sb_inventory"": 3294.0, ""week_phase"": 0.3548387096774194}",0.0
FSC-01,program-f-phase-screen-equipment_pressure-970001,program-f-phase-screen-equipment_pressure-970001|w11|p111,11,111,210,0.06190924026187095,8909190.0,0.0,"{""active_m"": 1.0, ""active_r"": 1.0, ""active_t"": 1.0, ""backlog_count"": 13.0, ""backlog_qty"": 33274.0, ""equipment_condition"": 0.0, ""equipment_condition_score"": 0.1, ""mission_tempo_score"": 0.8, ""pending_m"": 1.0, ""pending_r"": 1.0, ""pending_t"": 1.0, ""recent_damage_hours"": 6.730412315990032, ""recent_r11_count"": 5.0, ""recent_r24_count"": 1.0, ""recent_transport_attack_count"": 0.0, ""reserve_inventory"": 8000.0, ""route_threat_score"": 0.1, ""sb_inventory"": 3294.0, ""week_phase"": 0.3548387096774194}",0.0
FSC-01,program-f-phase-screen-interdiction_campaign-970002,program-f-phase-screen-interdiction_campaign-970002|w6|p120,6,120,012,0.32160809644396327,8384634.0,0.0,"{""active_m"": 1.0, ""active_r"": 0.0, ""active_t"": 2.0, ""backlog_count"": 6.0, ""backlog_qty"": 15404.0, ""equipment_condition"": 0.0, ""equipment_condition_score"": 0.1, ""mission_tempo_score"": 0.8, ""pending_m"": 1.0, ""pending_r"": 0.0, ""pending_t"": 2.0, ""recent_damage_hours"": 19.100389378135674, ""recent_r11_count"": 7.0, ""recent_r24_count"": 0.0, ""recent_transport_attack_count"": 0.0, ""reserve_inventory"": 10000.0, ""route_threat_score"": 0.1, ""sb_inventory"": 2458.0, ""week_phase"": 0.1935483870967742}",0.0
FSC-01,program-f-phase-screen-interdiction_campaign-970002,program-f-phase-screen-interdiction_campaign-970002|w6|p120,6,120,021,0.32160809644396327,8384634.0,0.0,"{""active_m"": 1.0, ""active_r"": 0.0, ""active_t"": 2.0, ""backlog_count"": 6.0, ""backlog_qty"": 15404.0, ""equipment_condition"": 0.0, ""equipment_condition_score"": 0.1, ""mission_tempo_score"": 0.8, ""pending_m"": 1.0, ""pending_r"": 0.0, ""pending_t"": 2.0, ""recent_damage_hours"": 19.100389378135674, ""recent_r11_count"": 7.0, ""recent_r24_count"": 0.0, ""recent_transport_attack_count"": 0.0, ""reserve_inventory"": 10000.0, ""route_threat_score"": 0.1, ""sb_inventory"": 2458.0, ""week_phase"": 0.1935483870967742}",0.0
