op3_inventory_target,op5_inventory_target,op9_inventory_target,risk_frequency_scale,risk_impact_scale,demand_level
52662.857142857145,35108.571428571435,0.0,1.7857142857142858,0.9285714285714286,1.0714285714285714
52662.857142857145,35108.571428571435,0.0,1.7857142857142858,0.9285714285714286,1.5
52662.857142857145,105325.71428571429,0.0,1.7857142857142858,0.9285714285714286,1.5
52662.857142857145,105325.71428571429,0.0,1.7857142857142858,1.7857142857142858,1.5
52662.857142857145,105325.71428571429,72000.0,1.7857142857142858,1.7857142857142858,1.5
122880.0,105325.71428571429,72000.0,1.7857142857142858,1.7857142857142858,1.5
35108.571428571435,0.0,54000.00000000001,0.9285714285714286,0.7142857142857143,0.9642857142857143
35108.571428571435,0.0,54000.00000000001,0.9285714285714286,1.5714285714285714,0.9642857142857143
105325.71428571429,0.0,54000.00000000001,0.9285714285714286,1.5714285714285714,0.9642857142857143
105325.71428571429,0.0,54000.00000000001,1.7857142857142858,1.5714285714285714,0.9642857142857143
105325.71428571429,70217.14285714286,54000.00000000001,1.7857142857142858,1.5714285714285714,0.9642857142857143
105325.71428571429,70217.14285714286,126000.0,1.7857142857142858,1.5714285714285714,0.9642857142857143
105325.71428571429,70217.14285714286,126000.0,1.7857142857142858,1.5714285714285714,1.3928571428571428
52662.857142857145,17554.285714285717,18000.000000000004,0.7142857142857143,0.5,1.0714285714285714
122880.0,17554.285714285717,18000.000000000004,0.7142857142857143,0.5,1.0714285714285714
122880.0,87771.42857142858,18000.000000000004,0.7142857142857143,0.5,1.0714285714285714
122880.0,87771.42857142858,18000.000000000004,0.7142857142857143,0.5,1.5
122880.0,87771.42857142858,18000.000000000004,1.5714285714285714,0.5,1.5
122880.0,87771.42857142858,18000.000000000004,1.5714285714285714,1.3571428571428572,1.5
122880.0,87771.42857142858,90000.0,1.5714285714285714,1.3571428571428572,1.5
0.0,52662.857142857145,18000.000000000004,1.1428571428571428,0.7142857142857143,0.75
0.0,52662.857142857145,18000.000000000004,2.0,0.7142857142857143,0.75
0.0,52662.857142857145,18000.000000000004,2.0,1.5714285714285714,0.75
0.0,52662.857142857145,18000.000000000004,2.0,1.5714285714285714,1.1785714285714286
70217.14285714286,52662.857142857145,18000.000000000004,2.0,1.5714285714285714,1.1785714285714286
70217.14285714286,52662.857142857145,90000.0,2.0,1.5714285714285714,1.1785714285714286
70217.14285714286,122880.0,90000.0,2.0,1.5714285714285714,1.1785714285714286
35108.571428571435,0.0,0.0,0.5,0.9285714285714286,0.9642857142857143
35108.571428571435,70217.14285714286,0.0,0.5,0.9285714285714286,0.9642857142857143
35108.571428571435,70217.14285714286,0.0,0.5,1.7857142857142858,0.9642857142857143
35108.571428571435,70217.14285714286,72000.0,0.5,1.7857142857142858,0.9642857142857143
35108.571428571435,70217.14285714286,72000.0,0.5,1.7857142857142858,1.3928571428571428
35108.571428571435,70217.14285714286,72000.0,1.3571428571428572,1.7857142857142858,1.3928571428571428
105325.71428571429,70217.14285714286,72000.0,1.3571428571428572,1.7857142857142858,1.3928571428571428
52662.857142857145,0.0,36000.00000000001,1.1428571428571428,1.1428571428571428,0.8571428571428572
52662.857142857145,0.0,36000.00000000001,2.0,1.1428571428571428,0.8571428571428572
52662.857142857145,0.0,108000.00000000001,2.0,1.1428571428571428,0.8571428571428572
52662.857142857145,70217.14285714286,108000.00000000001,2.0,1.1428571428571428,0.8571428571428572
52662.857142857145,70217.14285714286,108000.00000000001,2.0,2.0,0.8571428571428572
52662.857142857145,70217.14285714286,108000.00000000001,2.0,2.0,1.2857142857142856
122880.0,70217.14285714286,108000.00000000001,2.0,2.0,1.2857142857142856
17554.285714285717,52662.857142857145,54000.00000000001,0.7142857142857143,1.1428571428571428,0.75
17554.285714285717,52662.857142857145,54000.00000000001,0.7142857142857143,1.1428571428571428,1.1785714285714286
87771.42857142858,52662.857142857145,54000.00000000001,0.7142857142857143,1.1428571428571428,1.1785714285714286
87771.42857142858,52662.857142857145,126000.0,0.7142857142857143,1.1428571428571428,1.1785714285714286
87771.42857142858,122880.0,126000.0,0.7142857142857143,1.1428571428571428,1.1785714285714286
87771.42857142858,122880.0,126000.0,1.5714285714285714,1.1428571428571428,1.1785714285714286
87771.42857142858,122880.0,126000.0,1.5714285714285714,2.0,1.1785714285714286
52662.857142857145,17554.285714285717,18000.000000000004,0.9285714285714286,0.7142857142857143,0.9642857142857143
52662.857142857145,17554.285714285717,18000.000000000004,1.7857142857142858,0.7142857142857143,0.9642857142857143
52662.857142857145,17554.285714285717,18000.000000000004,1.7857142857142858,1.5714285714285714,0.9642857142857143
52662.857142857145,17554.285714285717,18000.000000000004,1.7857142857142858,1.5714285714285714,1.3928571428571428
52662.857142857145,87771.42857142858,18000.000000000004,1.7857142857142858,1.5714285714285714,1.3928571428571428
52662.857142857145,87771.42857142858,90000.0,1.7857142857142858,1.5714285714285714,1.3928571428571428
122880.0,87771.42857142858,90000.0,1.7857142857142858,1.5714285714285714,1.3928571428571428
35108.571428571435,52662.857142857145,36000.00000000001,1.1428571428571428,0.7142857142857143,0.75
35108.571428571435,122880.0,36000.00000000001,1.1428571428571428,0.7142857142857143,0.75
35108.571428571435,122880.0,36000.00000000001,1.1428571428571428,1.5714285714285714,0.75
105325.71428571429,122880.0,36000.00000000001,1.1428571428571428,1.5714285714285714,0.75
105325.71428571429,122880.0,36000.00000000001,2.0,1.5714285714285714,0.75
105325.71428571429,122880.0,36000.00000000001,2.0,1.5714285714285714,1.1785714285714286
105325.71428571429,122880.0,108000.00000000001,2.0,1.5714285714285714,1.1785714285714286
