policy,kind,order_ret_excel,order_level_ret_mean,flow_fill_rate,terminal_rolling_fill_rate_4w,ret_garrido2024_sigmoid_mean,assembly_cost_index,order_service_loss_auc_per_order,order_ctj_p99,order_rpj_p99,order_dpj_p99,pareto_nondominated_ret_cost_tail_flow
S2_op10_1.25_op12_2.00,dense_static,0.0053910059574472,0.0051802278721559,0.6541989978011015,0.9050027772784232,0.752337868224691,0.6666666666666666,1190622.2953245256,7910.535703176027,2072.501173742511,7910.535703176027,False
S3_op10_1.00_op12_2.00,dense_static,0.0053858127696893,0.0051759562830492,0.6435144633286176,0.8371304163709283,0.811793918906132,1.0,1223482.196374917,7996.323895920148,2181.302408192868,7996.323895920148,False
S3_op10_2.00_op12_1.25,dense_static,0.0053848032318372,0.0051726286535117,0.6843683478694917,0.8964499755452076,0.8105614790911142,1.0,1241299.5180841929,8075.650721031265,2262.111947205201,8075.650721031265,False
S3_op10_1.50_op12_1.50,dense_static,0.0053836341614829,0.0051720539822116,0.6551898710768956,0.888604087382555,0.8155057622317473,1.0,1155307.5911901866,8404.140142504612,2385.445761429107,8404.140142504612,False
S2_op10_1.00_op12_1.50,dense_static,0.0053826696307388,0.0051700891205029,0.6545598460902212,0.8699243625005086,0.7370687690582202,0.6666666666666666,1291442.4666362307,8819.05154068464,2379.033329369183,8819.05154068464,False
S3_op10_2.50_op12_1.25,dense_static,0.0053737522938664,0.0051642146028422,0.6692836039076226,0.8735750908652941,0.8053506766375838,1.0,1344863.46956005,8933.010486379175,2322.667465411745,8933.010486379175,False
S3_op10_1.25_op12_1.25,dense_static,0.0053748853844809,0.0051629183302159,0.6696677613683757,0.8751367967575788,0.8145641565822231,1.0,1206314.3482701995,8207.81026702115,2192.393570889295,8207.81026702115,False
S2_op10_2.00_op12_2.00,dense_static,0.0053719914888036,0.0051623206248702,0.624162859250581,0.8629427708685398,0.7484137843502557,0.6666666666666666,1243153.3794731367,8757.734372599758,2265.1940782931597,8757.734372599758,False
S3_op10_2.50_op12_1.50,dense_static,0.0053721976398852,0.0051621468785765,0.6434987342837849,0.8385198328644037,0.8120632826416733,1.0,1220655.8971099504,8592.834415092093,2256.4426981653382,8592.834415092093,False
S2_op10_2.50_op12_2.50,dense_static,0.005361318224686,0.0051512945175057,0.6104118712203578,0.8707776241004467,0.7411141216246119,0.6666666666666666,1252717.6064536362,8418.939655203276,2282.5730150659847,8418.939655203276,False
S2_op10_2.00_op12_2.50,dense_static,0.0053565259714952,0.0051468162867035,0.6177901963086427,0.8287677943706513,0.7479988646080956,0.6666666666666666,1221889.2789024387,8581.61983060819,2345.0039465065156,8581.61983060819,False
S3_op10_1.50_op12_1.25,dense_static,0.0053517756868458,0.0051412884115642,0.6861867526044734,0.8919117867946624,0.8099194483884327,1.0,1266116.7253863723,8143.41922631592,2312.0274585688203,8143.41922631592,False
S2_op10_1.25_op12_1.50,dense_static,0.0053472541121019,0.0051394441885853,0.6663428377852014,0.8434348308791717,0.7433507881948521,0.6666666666666666,1293488.5376612234,8194.671413263679,2289.3811660699566,8194.671413263679,False
S3_op10_1.50_op12_1.00,dense_static,0.0053482991951218,0.0051379906775296,0.6754687068874563,0.8921816726525625,0.7955802334494072,1.0,1610936.441710784,8060.876242116399,2163.798337028228,8060.876242116399,False
S3_op10_1.25_op12_2.50,dense_static,0.0053428704360932,0.0051349427555085,0.6349249393843671,0.8517793510109186,0.8173836690450986,1.0,1179775.0000199862,7644.432121174119,2067.497732436175,7644.432121174119,False
