seed,algo,reward_mode,reward_family,w_bo,w_cost,w_disr,episode_index,timesteps,progress_fraction,episode_reward,episode_length,time_elapsed_seconds
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,13,11830,0.1183,424.16352,910,23.590147
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,14,12740,0.1274,426.052207,910,25.356801
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,15,13650,0.1365,426.973046,910,27.130677
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,16,14560,0.1456,468.087171,910,28.959074
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,17,15470,0.1547,452.639444,910,30.808678
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,18,16380,0.1638,477.133323,910,32.491635
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,19,17290,0.1729,459.863825,910,34.316754
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,20,18200,0.182,449.02733,910,36.111816
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,21,19110,0.1911,437.709367,910,37.978712
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,22,20020,0.2002,479.165161,910,39.875379
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,23,20930,0.2093,466.650145,910,41.775147
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,24,21840,0.2184,461.10958,910,43.55422
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,25,22750,0.2275,454.119919,910,45.329557
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,26,23660,0.2366,424.538899,910,47.158226
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,27,24570,0.2457,437.11994,910,48.803832
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,28,25480,0.2548,436.703092,910,50.607189
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,29,26390,0.2639,478.866959,910,52.411845
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,30,27300,0.273,413.384083,910,54.17863
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,31,28210,0.2821,415.641569,910,56.011621
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,32,29120,0.2912,510.701752,910,57.892436
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,33,30030,0.3003,457.175179,910,59.64187
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,34,30940,0.3094,478.545253,910,61.549251
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,35,31850,0.3185,429.841409,910,63.310631
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,36,32760,0.3276,415.114264,910,64.954927
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,37,33670,0.3367,450.550293,910,66.76404
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,38,34580,0.3458,434.459659,910,68.53507
22,ppo,ReT_unified_v1,resilience_index,1.0,0.02,0.0,39,35490,0.3549,467.874652,910,70.298231
