family,state_id,tape_id,decision_week,prefix,horizon_weeks,action,ret_excel,service_loss,lost_orders,resource,mass_residual
production,production|1100006|w36|pS2,1100006,36,S2,4,S3,0.005853558885636846,86769594.0,0.0,1344.0,0.0
production,production|1100006|w36|pS2,1100006,36,S2,8,S1,0.005832380262865815,87147036.0,0.0,0.0,0.0
production,production|1100006|w36|pS2,1100006,36,S2,8,S2,0.005864899520903916,87146448.0,0.0,1344.0,0.0
production,production|1100006|w36|pS2,1100006,36,S2,8,S3,0.005802819783978036,87145896.0,0.0,2688.0,0.0
production,production|1100006|w44|pS3,1100006,44,S3,4,S1,0.005625620059230165,96789498.0,0.0,0.0,0.0
production,production|1100006|w44|pS3,1100006,44,S3,4,S2,0.005618399525980058,96788784.0,0.0,672.0,0.0
production,production|1100006|w44|pS3,1100006,44,S3,4,S3,0.005654625575592499,96789570.0,0.0,1344.0,0.0
production,production|1100006|w44|pS3,1100006,44,S3,8,S1,0.0055946026716346695,97165128.0,0.0,0.0,0.0
production,production|1100006|w44|pS3,1100006,44,S3,8,S2,0.0055666402747716354,97164750.0,0.0,1344.0,0.0
production,production|1100006|w44|pS3,1100006,44,S3,8,S3,0.005655523205002841,97164756.0,0.0,2688.0,0.0
production,production|1100007|w12|pS1,1100007,12,S1,4,S1,0.0058201603102668595,82149942.0,0.0,0.0,0.0
production,production|1100007|w12|pS1,1100007,12,S1,4,S2,0.0056454104182153434,80810496.0,0.0,672.0,0.0
production,production|1100007|w12|pS1,1100007,12,S1,4,S3,0.005692775691825518,81041718.0,0.0,1344.0,0.0
production,production|1100007|w12|pS1,1100007,12,S1,8,S1,0.005762133736661222,117992250.0,0.0,0.0,0.0
production,production|1100007|w12|pS1,1100007,12,S1,8,S2,0.005513412477198672,107803398.0,0.0,1344.0,0.0
production,production|1100007|w12|pS1,1100007,12,S1,8,S3,0.005439898426912261,109533480.0,0.0,2688.0,0.0
production,production|1100007|w24|pS2,1100007,24,S2,4,S1,0.004986698613646514,152619864.0,0.0,0.0,0.0
production,production|1100007|w24|pS2,1100007,24,S2,4,S2,0.004980083140598607,152619690.0,0.0,672.0,0.0
production,production|1100007|w24|pS2,1100007,24,S2,4,S3,0.004942493657859198,152619690.0,0.0,1344.0,0.0
production,production|1100007|w24|pS2,1100007,24,S2,8,S1,0.005058150725965821,163467132.0,0.0,0.0,0.0
production,production|1100007|w24|pS2,1100007,24,S2,8,S2,0.005067643090829029,163777794.0,0.0,1344.0,0.0
production,production|1100007|w24|pS2,1100007,24,S2,8,S3,0.005022689162602779,163777746.0,0.0,2688.0,0.0
production,production|1100007|w36|pS3,1100007,36,S3,4,S1,0.005036702245105369,204088002.0,0.0,0.0,0.0
production,production|1100007|w36|pS3,1100007,36,S3,4,S2,0.005038461411699615,204088002.0,0.0,672.0,0.0
production,production|1100007|w36|pS3,1100007,36,S3,4,S3,0.005009006323263389,204088002.0,0.0,1344.0,0.0
production,production|1100007|w36|pS3,1100007,36,S3,8,S1,0.005102615216142322,215217108.0,0.0,0.0,0.0
production,production|1100007|w36|pS3,1100007,36,S3,8,S2,0.005102492622707473,213868980.0,0.0,1344.0,0.0
production,production|1100007|w36|pS3,1100007,36,S3,8,S3,0.005120852762435548,215216868.0,0.0,2688.0,0.0
production,production|1100007|w44|pS1,1100007,44,S1,4,S1,0.005397281214385622,471534684.0,0.0,0.0,0.0
production,production|1100007|w44|pS1,1100007,44,S1,4,S2,0.005298890408052596,467807148.0,0.0,672.0,0.0
production,production|1100007|w44|pS1,1100007,44,S1,4,S3,0.005367268300621459,467807148.0,0.0,1344.0,0.0
production,production|1100007|w44|pS1,1100007,44,S1,8,S1,0.005276039847373691,540452616.0,0.0,0.0,0.0
production,production|1100007|w44|pS1,1100007,44,S1,8,S2,0.0052043424322043095,526103742.0,0.0,1344.0,0.0
production,production|1100007|w44|pS1,1100007,44,S1,8,S3,0.0053048382356493725,524559912.0,0.0,2688.0,0.0
production,production|1100008|w12|pS2,1100008,12,S2,4,S1,0.005647085201471088,58806972.0,0.0,0.0,0.0
production,production|1100008|w12|pS2,1100008,12,S2,4,S2,0.005652873948254919,58806972.0,0.0,672.0,0.0
production,production|1100008|w12|pS2,1100008,12,S2,4,S3,0.005659937921498511,58807560.0,0.0,1344.0,0.0
production,production|1100008|w12|pS2,1100008,12,S2,8,S1,0.005601400428247552,71133330.0,0.0,0.0,0.0
