comparator,n_pairs,ppo_mean,comparator_mean,delta_mean,delta_ci95_low,delta_ci95_high,paired_cohens_d,ppo_wins,ppo_wins_ci95
S2_op10_0.50_op12_0.50,60,0.005892652189433801,0.002320467298244399,0.0035721848911894035,0.0035408293974855485,0.0036023663708876883,28.856557604759193,True,True
S2_op10_0.50_op12_1.00,60,0.005892652189433801,0.0023621433142101403,0.003530508875223662,0.0034884083739804366,0.0035701889770360156,21.639608546645107,True,True
S2_op10_0.50_op12_1.50,60,0.005892652189433801,0.002362744117640565,0.0035299080717932363,0.0035042386458222414,0.0035564796829297427,33.69955860835798,True,True
S2_op10_0.50_op12_2.00,60,0.005892652189433801,0.002387152558083918,0.003505499631349883,0.0034744397898027126,0.0035369160494808055,27.891087522994773,True,True
S2_op10_0.50_op12_2.50,60,0.005892652189433801,0.0023714694698665903,0.0035211827195672112,0.0034890774168546057,0.003553130682000954,26.990008317950913,True,True
S2_op10_1.00_op12_0.50,60,0.005892652189433801,0.0023223081562049,0.003570344033228902,0.0035423150700810693,0.003598504384908335,31.723661306061405,True,True
S2_op10_1.00_op12_1.00,60,0.005892652189433801,0.005319507213255974,0.0005731449761778269,0.0005300144813835385,0.0006169878833954126,3.2594471732571897,True,True
S2_op10_1.00_op12_1.50,60,0.005892652189433801,0.005382669630738841,0.00050998255869496,0.0004591805319936428,0.0005651887566724726,2.403489878818281,True,True
S2_op10_1.00_op12_2.00,60,0.005892652189433801,0.005445170359261088,0.000447481830172715,0.0004064776941980543,0.0004893769452841333,2.625588836725903,True,True
S2_op10_1.00_op12_2.50,60,0.005892652189433801,0.005400898544418375,0.0004917536450154265,0.00046290107930808564,0.0005209001211847849,4.266883273733282,True,True
S2_op10_1.50_op12_0.50,60,0.005892652189433801,0.00229761518602084,0.003595037003412961,0.003558376819300636,0.0036316810158755802,24.42865625216439,True,True
S2_op10_1.50_op12_1.00,60,0.005892652189433801,0.005282030995448235,0.0006106211939855669,0.0005537911334203464,0.0006663540964922639,2.705368800829683,True,True
S2_op10_1.50_op12_1.50,60,0.005892652189433801,0.005428010354666421,0.0004646418347673799,0.0004241916825963399,0.0005086572686596707,2.7569925338271726,True,True
S2_op10_1.50_op12_2.00,60,0.005892652189433801,0.005343823166361725,0.0005488290230720782,0.0005058750153211876,0.0005933972464752075,3.0678646631480047,True,True
