policy,seed,episodes,shift,op10_mult,op12_mult,reward_total_mean,reward_total_std,order_level_ret_mean_mean,order_level_ret_mean_std,flow_fill_rate_mean,flow_fill_rate_std,flow_backorder_rate_mean,flow_backorder_rate_std,terminal_rolling_fill_rate_4w_mean,terminal_rolling_fill_rate_4w_std,terminal_rolling_backorder_rate_4w_mean,terminal_rolling_backorder_rate_4w_std,assembly_cost_index_mean,assembly_cost_index_std,assembly_hours_total_mean,assembly_hours_total_std,ret_garrido2024_raw_total_mean,ret_garrido2024_raw_total_std,ret_garrido2024_train_total_mean,ret_garrido2024_train_total_std,ret_garrido2024_sigmoid_total_mean,ret_garrido2024_sigmoid_total_std,ret_garrido2024_sigmoid_mean_mean,ret_garrido2024_sigmoid_mean_std,terminal_kappa_dot_mean,terminal_kappa_dot_std,terminal_epsilon_avg_mean,terminal_epsilon_avg_std,order_ret_excel_mean,order_ret_excel_std,order_lost_rate_mean,order_lost_rate_std,order_service_loss_auc_per_order_mean,order_service_loss_auc_per_order_std,order_ctj_p99_mean,order_ctj_p99_std,order_rpj_p99_mean,order_rpj_p99_std,order_dpj_p99_mean,order_dpj_p99_std,order_delivered_rations_mean,order_delivered_rations_std,order_demanded_rations_mean,order_demanded_rations_std,op3_mult,op9_mult
S2_op3_0.75_op9_1.25_op10_2.00_op12_1.50,1,12,2,2.0,1.5,-108.93649961195088,22.80303470134903,0.005328756417613299,0.00014516616906389945,0.740501469270578,0.0555596761233798,0.259498530729422,0.05555967612337981,0.974790116151174,0.058877633758879014,0.010416666977107525,0.02589923245969313,0.6666666666666666,0.0,11648.0,0.0,581.3005010396513,199.58930790075598,458.2435069014553,151.41660987771436,84.7312969238471,4.045026330819813,0.814724008883145,0.03889448395019049,0.10762854819024543,0.007207919820958556,33253.53977564103,9245.655408967647,0.0055514488522021045,0.00013090911497735616,0.0,0.0,630219.0383422902,165576.02700973686,5413.25721769384,1476.57833883174,1561.3332506162471,415.162269592422,5413.25721769384,1476.57833883174,1743462.7291666667,14886.412635401486,1751551.5933333335,14198.498202056744,0.75,1.25
S2_op3_0.75_op9_1.25_op10_2.00_op12_1.50,2,12,2,2.0,1.5,-104.81760977482058,19.6127824746785,0.005369161369741192,8.678410130626218e-05,0.7500329614932689,0.04854794261586569,0.2499670385067312,0.048547942615865695,0.9873834649721781,0.04370495936731976,0.006944444651405017,0.02405626193316686,0.6666666666666666,0.0,11648.0,0.0,615.6075526683036,198.67856979305174,484.125432180464,150.64791557691458,85.49807735804866,3.9164149984219194,0.8220968976735449,0.03765783652328767,0.1065088909564454,0.007373966534252788,31557.657588141024,8933.443873479471,0.005584875606797903,8.89361372191616e-05,0.0,0.0,597471.7052324038,155913.4862640848,5231.3956098048,1518.9891044455317,1500.5529319271297,448.19417725204704,5231.3956098048,1518.9891044455317,1744606.3291666666,14994.21197444913,1751339.7241666664,14084.585333898925,0.75,1.25
S2_op3_0.75_op9_1.25_op10_2.00_op12_1.50,3,12,2,2.0,1.5,-105.00878490096385,19.404311024165043,0.005364435760571845,7.749913443117412e-05,0.749275570249953,0.047754840522453566,0.2507244297500471,0.04775484052245358,0.9873834649721781,0.04370495936731976,0.006944444651405017,0.02405626193316686,0.6666666666666666,0.0,11648.0,0.0,625.6262197759416,208.21193083861732,491.1869505588413,157.4126583096798,85.64533254406462,4.046262771171935,0.8235128129236982,0.03890637279973013,0.10628856182627262,0.007469015740502361,31292.86262820513,9178.186255290346,0.005580070924555244,7.945244671468994e-05,0.0,0.0,599747.9175424374,153285.17528337837,5267.919098008072,1482.8485008285002,1474.3259407470186,474.36227345932764,5267.919098008072,1482.8485008285002,1742731.5016666667,16476.263598746336,1749576.1325,15615.455711887189,0.75,1.25
S2_op3_0.75_op9_1.25_op10_2.00_op12_1.50,4,12,2,2.0,1.5,-113.46088091952491,31.014099253371302,0.005293332495903049,0.00023600132080501152,0.7286876161165954,0.07589680500063135,0.2713123838834046,0.07589680500063137,0.9773880392313004,0.05323421796746921,0.013888889302810034,0.03243745697344164,0.6666666666666666,0.0,11648.0,0.0,577.4558058494085,242.64469073382213,454.05030207851456,184.05164197424966,83.52731052008568,7.698515540859328,0.8031472165392853,0.07402418789287815,0.1120413549744158,0.0216602667120494,36981.91322115385,19926.677211952643,0.005504590271973326,0.00025002112726636385,0.0016874350986500518,0.005845446650673781,800068.8046563446,662347.9113174434,5833.571402068686,1912.1141894321233,1690.8891195671124,744.4669606419875,5833.571402068686,1912.1141894321233,1738203.7191666665,24072.36095135687,1749798.8549999997,15550.934071885697,0.75,1.25
S2_op3_0.75_op9_1.25_op10_2.00_op12_1.50,5,12,2,2.0,1.5,-111.83955844916107,31.060538757376673,0.005314688863344294,0.0002474636659536681,0.7327339243535933,0.07581623353929054,0.26726607564640675,0.07581623353929054,0.9773880392313004,0.05323421796746921,0.013888889302810034,0.03243745697344164,0.6666666666666666,0.0,11648.0,0.0,591.2829833245173,242.5911715924481,464.4129732853318,183.9430786416085,83.81910747892032,7.788095977500816,0.8059529565280799,0.07488553824520014,0.11166558356113399,0.021932954095602763,36164.36782051283,20164.59576487693,0.005527625333446812,0.00026221068044167373,0.0016874350986500518,0.005845446650673781,780195.2707684321,671092.9932344205,5825.54378459588,1915.4067751633518,1620.7544110018846,772.740968534856,5825.54378459588,1915.4067751633518,1736799.605833333,22826.81252543155,1748239.3499999996,13973.20751906196,0.75,1.25
S2_op3_1.00_op9_0.75_op10_2.00_op12_1.50,1,12,2,2.0,1.5,-273.26592551271796,14.420549725374812,0.0037385927686940383,0.0002409733274848359,0.3422190790368216,0.03395094970270995,0.6577809209631784,0.03395094970270995,0.6180616840720177,0.22000440032387208,0.3402777810891469,0.21307730532923855,0.6666666666666666,0.0,11648.0,0.0,151.91116865638114,7.765568886843848,146.61364799294924,6.99627730561839,61.54420709443965,1.1971419327065285,0.5917712220619197,0.01151098012217816,0.960636567500481,0.015223604430263089,154814.52774038463,2154.2459471178126,0.003890375576484962,0.0002539631729563669,0.1557632398753894,0.02205826670303216,6622510.574207872,566345.9254978824,7702.632926032322,2595.5918407346094,1973.8760858007463,574.7148388028947,7702.632926032322,2595.5918407346094,1316888.6000000003,34138.618438600795,1749137.343333334,12544.520900309413,1.0,0.75
S2_op3_1.00_op9_0.75_op10_2.00_op12_1.50,2,12,2,2.0,1.5,-271.6053802832638,12.738831711556458,0.0037797356403744737,0.00019954023072457977,0.34621122702959406,0.029649844529697468,0.6537887729704059,0.029649844529697468,0.6128819311658541,0.22092127135112075,0.3402777810891469,0.21307730532923855,0.6666666666666666,0.0,11648.0,0.0,153.3629750483992,7.265629091472368,147.9369244515013,6.5752155759847755,61.77336501538156,1.1223709762013274,0.5939746636094381,0.010792028617320459,0.961029867795573,0.015139871788458473,154328.413125,2043.9229299166652,0.003926023986275601,0.0002225920399487683,0.1539460020768432,0.021550802180461178,6587868.091986786,548389.5636673621,7457.100436320844,2571.3686297422314,1938.1754536732194,561.1955245081466,7457.100436320844,2571.3686297422314,1317721.2650000004,34015.09242265774,1746581.8366666671,10405.418613394251,1.0,0.75
S2_op3_1.00_op9_0.75_op10_2.00_op12_1.50,3,12,2,2.0,1.5,-272.1736303567341,12.894834658768941,0.0037681974106558405,0.0002021798811299369,0.34434791576779894,0.030054922643493198,0.655652084232201,0.030054922643493198,0.6087143992384275,0.22023840688882967,0.3437500049670537,0.21255198856057722,0.6666666666666666,0.0,11648.0,0.0,152.96762396620832,7.201619745236887,147.57675963835192,6.521366283913155,61.70917955765042,1.1148062449675602,0.5933574957466387,0.010719290816995772,0.9623893404520206,0.01548068097171711,154596.31404647438,2186.4234335768697,0.003913950279051246,0.00022540866711589727,0.15628245067497404,0.021257112939020814,6671773.64790006,566744.0069350568,7360.21515319176,2603.2607490084174,1919.0727904862968,556.7619523753445,7360.21515319176,2603.2607490084174,1315658.8825000003,33041.85535169979,1749712.445833334,14461.268440315069,1.0,0.75
S2_op3_1.00_op9_0.75_op10_2.00_op12_1.50,4,12,2,2.0,1.5,-273.6858858186597,13.619038488362058,0.003766654682779126,0.00020310759187945035,0.3405479987673529,0.03185104875210449,0.6594520012326471,0.03185104875210449,0.6216247801979383,0.21857209448360876,0.3263888930281003,0.21084346838651147,0.6666666666666666,0.0,11648.0,0.0,152.66963810953698,7.419601636364318,147.23885593372532,6.777562052548377,61.65821267637407,1.151598614995253,0.59286742958052,0.011073063605723587,0.9591868724694227,0.01670146426283577,154635.3235496795,2196.736084913051,0.003913073731932824,0.00022591577323675748,0.15719106957424714,0.021679629824809952,6681110.0016694255,576234.3580200576,7523.820774587356,2450.497112851671,1911.9365682476146,560.2827318678115,7523.820774587356,2450.497112851671,1315832.386666667,32911.03976343753,1750345.0166666673,14151.579453932995,1.0,0.75
S2_op3_1.00_op9_0.75_op10_2.00_op12_1.50,5,12,2,2.0,1.5,-271.8048527319618,14.99894666349064,0.003778253282013509,0.0002154764988826487,0.3450769630441022,0.035445214571872066,0.6549230369558978,0.035445214571872066,0.6089562003811201,0.21689666641656097,0.3437500037252903,0.20880628475171742,0.6666666666666666,0.0,11648.0,0.0,153.02628064387525,7.179749986440535,147.56869570185782,6.5623449950248505,61.7123797956046,1.1151558662062635,0.5933882672654288,0.01072265255967561,0.9587831613082155,0.01655667711037207,154653.3401522436,2219.6429413907604,0.003926585046694471,0.00023947020991152597,0.15796988577362409,0.021175243716882727,6684323.192807416,574731.0595452618,7380.311540523419,2610.059327674397,1885.9513488115147,598.2637300424138,7380.311540523419,2610.059327674397,1315724.5225000004,32821.02527265277,1751330.3325000007,14205.85194343238,1.0,0.75
