cf,hypothesis,family,pattern,horizon_years,buffer_hours,shifts,ret_excel,ret_excel_0_100,Re_APj_share,Re_APj_mean,Re_APj_contribution,Re_RPj_share,Re_RPj_mean,Re_RPj_contribution,Re_DPj_RPj_share,Re_DPj_RPj_mean,Re_DPj_RPj_contribution,Re_FRt_share,Re_FRt_mean,Re_FRt_contribution,not_in_his_ReT_unfulfilled_share,not_in_his_ReT_unfulfilled_mean,not_in_his_ReT_unfulfilled_contribution
47,H2b,R2r,-++-,10,168,1,0.7090239808450729,70.9023980845073,0.0,0.0,0.0,0.2938108484005563,0.017479729494946653,0.005135734152722504,0.0,0.0,0.0,0.7061891515994436,0.9967418008307245,0.703888246692351,0.0,0.0,0.0
48,H2b,R2r,--+-,10,336,1,0.7082683466603645,70.82683466603645,0.0,0.0,0.0,0.29018789144050106,0.017640016693716065,0.005118919249324704,0.0,0.0,0.0,0.7098121085594989,0.9906134580290823,0.7031494274110396,0.0,0.0,0.0
49,H2b,R2r,-+-+,10,672,1,0.6769812273593933,67.69812273593932,0.0,0.0,0.0,0.3247566063977747,0.01409167153650069,0.004576363426666079,0.0003477051460361613,0.0,0.0,0.6748956884561892,0.9963093192532343,0.6724048639327288,0.0,0.0,0.0
50,H2b,R2r,++++,10,672,1,0.4766385819334787,47.66385819334787,0.0,0.0,0.0,0.5,0.010363225570628673,0.0051816127853143365,0.0,0.0,0.0,0.5,0.9429139382963292,0.4714569691481646,0.0,0.0,0.0
51,H2c,R3,-,20,672,1,0.9934085316101506,99.34085316101506,0.0,0.0,0.0,0.004690757470465601,0.027867640883513938,0.0001307203446585956,0.0,0.0,0.0,0.9953092425295343,0.9979589948759239,0.9932778112654912,0.0,0.0,0.0
52,H2c,R3,+,20,1344,1,0.9888710105155161,98.88710105155161,0.0,0.0,0.0,0.00920778318276581,0.012088056073905134,0.0001113041994296338,0.0,0.0,0.0,0.9907922168172342,0.9979486006584938,0.9887597063160858,0.0,0.0,0.0
53,H2c,R3,+,20,672,1,0.9887308534709913,98.87308534709913,0.0,0.0,0.0,0.008860319666435024,0.010582010582010576,9.375999647021184e-05,0.0,0.0,0.0,0.9911396803335649,0.9974750411988326,0.9886370934745204,0.0,0.0,0.0
54,H2c,R3,+,20,1344,1,0.991504422851842,99.1504422851842,0.0,0.0,0.0,0.006775538568450313,0.023507132197608426,0.00015927348083855607,0.0,0.0,0.0,0.9932244614315496,0.9981078677242424,0.991345149371003,0.0,0.0,0.0
55,H2c,R3,+,20,504,1,0.9887848997806888,98.87848997806888,0.0,0.0,0.0,0.009034051424600417,0.009839194621803308,8.888779019002293e-05,0.0,0.0,0.0,0.9909659485753995,0.9977093697435668,0.9886960119904977,0.0,0.0,0.0
56,H2c,R3,-,20,504,1,0.9932480736978138,99.32480736978138,0.0,0.0,0.0,0.004517025712300208,0.010844710844710836,4.898583772801976e-05,0.0,0.0,0.0,0.9954829742876998,0.9977057503878971,0.9931990878600853,0.0,0.0,0.0
57,H2c,R3,-,20,336,1,0.9935493370489529,99.35493370489529,0.0,0.0,0.0,0.004517025712300208,0.014041514041514028,6.342587996514328e-05,0.0,0.0,0.0,0.9954829742876998,0.9979938751638202,0.9934859111689871,0.0,0.0,0.0
58,H2c,R3,-,20,336,1,0.9938227401641381,99.3822740164138,0.0,0.0,0.0,0.004343293954134816,0.009758454106280186,4.23838347215088e-05,0.0,0.0,0.0,0.9956567060458652,0.9981154651949254,0.9937803563294159,0.0,0.0,0.0
59,H2c,R3,+,20,168,1,0.9886601747308198,98.86601747308198,0.0,0.0,0.0,0.009034051424600417,0.0107068923424734,9.67266160195651e-05,0.0,0.0,0.0,0.9909659485753995,0.9975755973612879,0.9885634481147995,0.0,0.0,0.0
60,H2c,R3,-,20,168,1,0.9932066520548961,99.3206652054896,0.0,0.0,0.0,0.004690757470465601,0.027867640883513938,0.0001307203446585956,0.0,0.0,0.0,0.9953092425295343,0.9977561638897051,0.9930759317102363,0.0,0.0,0.0
61,H3a,R1r,--++,10,0,2,0.009099431875920617,0.9099431875920617,0.0,0.0,0.0,1.0,0.009099431875920825,0.009099431875920825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,H3a,R1r,-+--,10,0,1,0.00815567858877727,0.815567858877727,0.0,0.0,0.0,1.0,0.00815567858877739,0.00815567858877739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,H3a,R1r,+-++,10,0,3,0.009092086235613096,0.9092086235613096,0.0,0.0,0.0,1.0,0.009092086235613302,0.009092086235613302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,H3a,R1r,+++-,10,0,3,0.009126130611057551,0.9126130611057551,0.0,0.0,0.0,1.0,0.00912613061105776,0.00912613061105776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,H3a,R1r,--+-,10,0,1,0.008157041652080536,0.8157041652080536,0.0,0.0,0.0,1.0,0.008157041652080652,0.008157041652080652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,H3a,R1r,++-+,10,0,2,0.009126993272242128,0.9126993272242128,0.0,0.0,0.0,1.0,0.009126993272242338,0.009126993272242338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,H3a,R1r,+--+,10,0,1,0.007678228463485877,0.7678228463485877,0.0,0.0,0.0,1.0,0.00767822846348599,0.00767822846348599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,H3a,R1r,+---,10,0,2,0.009112205859489195,0.9112205859489195,0.0,0.0,0.0,1.0,0.009112205859489401,0.009112205859489401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,H3a,R1r,-+++,10,0,3,0.009105757760391409,0.9105757760391409,0.0,0.0,0.0,1.0,0.009105757760391617,0.009105757760391617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,H3a,R1r,-+-+,10,0,3,0.009100183646103597,0.9100183646103597,0.0,0.0,0.0,1.0,0.009100183646103804,0.009100183646103804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,H3b,R2r,+-++,10,0,1,0.3686356048084504,36.863560480845045,0.0,0.0,0.0,0.5480966025378633,0.007702817360128811,0.004221888025056275,0.0,0.0,0.0,0.4519033974621367,0.8063973823386157,0.36441371678339407,0.0,0.0,0.0
72,H3b,R2r,+---,10,0,3,0.7446386359245187,74.46386359245187,0.0,0.0,0.0,0.24182776801405975,0.01375414233953037,0.003326133542916307,0.0,0.0,0.0,0.7581722319859402,0.9777626654036433,0.7413125023816023,0.0,0.0,0.0
73,H3b,R2r,++-+,10,0,2,0.5745981648696522,57.459816486965224,0.0,0.0,0.0,0.4126537785588752,0.010465771254653164,0.004318740053765488,0.0,0.0,0.0,0.5873462214411248,0.9709425275889878,0.5702794248158871,0.0,0.0,0.0
74,H3b,R2r,+++-,10,0,3,0.5290686101412839,52.906861014128395,0.0,0.0,0.0,0.4427753934191702,0.012121536152581207,0.005367117938803839,0.0,0.0,0.0,0.5572246065808297,0.9398391349153625,0.5237014922024802,0.0,0.0,0.0
75,H3b,R2r,--++,10,0,2,0.48523924663727797,48.5239246637278,0.0,0.0,0.0,0.4717832957110609,0.008909686645539348,0.0042034413293853806,0.0,0.0,0.0,0.5282167042889391,0.9106788963734872,0.4810358053078917,0.0,0.0,0.0
76,H3b,R2r,-+--,10,0,3,0.7683830051647557,76.83830051647557,0.0,0.0,0.0,0.22249560632688928,0.015010731772632544,0.0033398218671621795,0.0,0.0,0.0,0.7775043936731107,0.9839728103443274,0.765043183297593,0.0,0.0,0.0
77,H3b,R2r,-++-,10,0,2,0.6171738620601959,61.71738620601958,0.0,0.0,0.0,0.3645649876717154,0.011746829969201903,0.004282482922903829,0.0,0.0,0.0,0.6354350123282846,0.9645225196068588,0.6128913791372924,0.0,0.0,0.0
78,H3b,R2r,--+-,10,0,1,0.5833384237287211,58.33384237287211,0.0,0.0,0.0,0.3648293963254593,0.011767487439419386,0.004293125338790799,0.0,0.0,0.0,0.6351706036745407,0.9116374325891069,0.5790452983899315,0.0,0.0,0.0
79,H3b,R2r,-+-+,10,0,2,0.6274462340122348,62.74462340122348,0.0,0.0,0.0,0.35864978902953587,0.011849084809794687,0.0042496717672259425,0.0,0.0,0.0,0.6413502109704642,0.9716946398162327,0.6231965622450101,0.0,0.0,0.0
80,H3b,R2r,++++,10,0,1,0.3890264531774338,38.90264531774338,0.0,0.0,0.0,0.5402020202020202,0.009155871022185716,0.00494602002289386,0.00040404040404040404,0.0,0.0,0.4593939393939394,0.836058990375977,0.3840804331545397,0.0,0.0,0.0
81,H3c,R3,-,20,0,1,0.9704924164728963,97.04924164728963,0.0,0.0,0.0,0.006114605171208945,0.0160225706866851,9.797169357686558e-05,0.0,0.0,0.0,0.993885394828791,0.9763645283734982,0.9703944447793206,0.0,0.0,0.0
82,H3c,R3,+,20,0,3,0.980921407790063,98.0921407790063,0.0,0.0,0.0,0.00925764192139738,0.012088056073905134,0.0001119068946579864,0.0,0.0,0.0,0.9907423580786027,0.9899743287422759,0.9808095008954042,0.0,0.0,0.0
83,H3c,R3,+,20,0,2,0.981899105127099,98.1899105127099,0.0,0.0,0.0,0.00890829694323144,0.010582010582010576,9.426769252096757e-05,0.0,0.0,0.0,0.9910917030567685,0.9906296606120821,0.9818048374345771,0.0,0.0,0.0
84,H3c,R3,+,20,0,3,0.9839377363444758,98.39377363444758,0.0,0.0,0.0,0.006812227074235808,0.023507132197608426,0.00016013592239418842,0.0,0.0,0.0,0.9931877729257642,0.9905252835765762,0.9837776004220807,0.0,0.0,0.0
85,H3c,R3,+,20,0,2,0.981466141960992,98.14661419609921,0.0,0.0,0.0,0.00908296943231441,0.009839194621803308,8.936910398843178e-05,0.0,0.0,0.0,0.9909170305676855,0.9903722941312075,0.9813767728570026,0.0,0.0,0.0
86,H3c,R3,-,20,0,3,0.9861604284148129,98.61604284148129,0.0,0.0,0.0,0.004541484716157205,0.010844710844710836,4.9251088552398555e-05,0.0,0.0,0.0,0.9954585152838428,0.9906100175807752,0.9861111773262599,0.0,0.0,0.0
87,H3c,R3,-,20,0,2,0.98622817670035,98.622817670035,0.0,0.0,0.0,0.004541484716157205,0.014041514041514028,6.376932141124275e-05,0.0,0.0,0.0,0.9954585152838428,0.9906634904798072,0.9861644073789382,0.0,0.0,0.0
88,H3c,R3,-,20,0,1,0.9678228285268158,96.78228285268158,0.0,0.0,0.0,0.007686932215234102,0.0014044594607362628,1.0795984673723893e-05,0.0,0.0,0.0,0.9923130677847659,0.9753091680054965,0.9678120325421419,0.0,0.0,0.0
89,H3c,R3,+,20,0,2,0.9816990071945281,98.16990071945281,0.0,0.0,0.0,0.00908296943231441,0.0107068923424734,9.725037586176712e-05,0.0,0.0,0.0,0.9909170305676855,0.9905993403467055,0.9816017568186655,0.0,0.0,0.0
90,H3c,R3,-,20,0,1,0.9755338452354263,97.55338452354263,0.0,0.0,0.0,0.0047169811320754715,0.027867640883513938,0.00013145113624299026,0.0,0.0,0.0,0.9952830188679245,0.9800251542607891,0.9754023940991815,0.0,0.0,0.0
