time_offset,sb_inventory,queue_qty,queue_count,queue_occupancy,contingent_share,size_p25,size_p50,size_p75,age_p25,age_p50,age_p75,oldest_age,in_transit,op9_down,op10_down,op11_down,op12_down,recent_demand,recent_delivered,recent_fill,prior_rule,operational_day,day,state_sha256,r24,downstream,stratum,fallback,state_id,tape_id,tape_sha256,seed,family,risk_level
0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,spt_flat,0.0,0,29e49acdb1211bacd00b799607cd9b125d749c27a60a986d206370454301500c,0.0,0.0,nominal,False,d1v2-selection-R1-current-810003:nominal:0:0,d1v2-selection-R1-current-810003,059856c738ab5bd31230a0ce4f2623a172216da35316fc1e60aa6b94aaccde4a,810003,R1,current
600.0,743.0,5137.0,2.0,0.03333333333333333,0.0,2568.25,2568.5,2568.75,132.0,192.0,252.0,312.0,4942.0,0,0,0,0,14909.0,9882.0,0.6628211147628948,spt_flat,4.0,25,09addcc2d9005fcc1dd4a5a261b36397763eeea9c927fafbdc739f3a02dc403d,0.0,0.0,nominal,False,d1v2-selection-R1-current-810003:nominal:1:25,d1v2-selection-R1-current-810003,059856c738ab5bd31230a0ce4f2623a172216da35316fc1e60aa6b94aaccde4a,810003,R1,current
6432.0,1022.0,123633.0,48.0,0.8,0.0,2569.0,2576.0,2590.0,1146.0,2688.0,4188.0,6144.0,0.0,0,0,0,0,15011.0,14847.0,0.9890746785690494,spt_flat,2.0,268,4debbc7c9f40e79aabfd481af3995d11a88f16fe0256c3fcd717e32464805937,0.0,0.0,high_occupancy,False,d1v2-selection-R1-current-810003:high_occupancy:0:268,d1v2-selection-R1-current-810003,059856c738ab5bd31230a0ce4f2623a172216da35316fc1e60aa6b94aaccde4a,810003,R1,current
16776.0,282.0,151536.0,59.0,0.9833333333333333,0.0,2565.0,2569.0,2572.5,4104.0,7560.0,11724.0,16488.0,4970.0,0,0,0,0,14851.0,9800.0,0.6598882230152852,spt_flat,6.0,699,0eb6ee160c249aec19ecdaea5c07236f40ee21a79024aefd46083d79aad197be,0.0,0.0,high_occupancy,False,d1v2-selection-R1-current-810003:high_occupancy:1:699,d1v2-selection-R1-current-810003,059856c738ab5bd31230a0ce4f2623a172216da35316fc1e60aa6b94aaccde4a,810003,R1,current
624.0,743.0,7647.0,3.0,0.05,0.0,2539.0,2568.0,2568.5,60.0,96.0,216.0,336.0,7451.0,0,0,0,0,14937.0,12373.0,0.8283457186851443,spt_flat,5.0,26,130acadd7ba69a164d026289df735693ac3ba47807a8fef44680526c124395bd,0.0,0.0,high_age,False,d1v2-selection-R1-current-810003:high_age:0:26,d1v2-selection-R1-current-810003,059856c738ab5bd31230a0ce4f2623a172216da35316fc1e60aa6b94aaccde4a,810003,R1,current
16752.0,2735.0,151536.0,59.0,0.9833333333333333,0.0,2565.0,2569.0,2572.5,4080.0,7536.0,11700.0,16464.0,2517.0,0,0,0,0,14967.0,12293.0,0.8213402819536313,spt_flat,5.0,698,06bc197f6d74db26a6ba167b4cf8f2251430cee56ea0f81e7dff83870edefb73,0.0,0.0,high_age,False,d1v2-selection-R1-current-810003:high_age:1:698,d1v2-selection-R1-current-810003,059856c738ab5bd31230a0ce4f2623a172216da35316fc1e60aa6b94aaccde4a,810003,R1,current
24.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0,0,0,0,0,0,0.0,spt_flat,1.0,1,2e8d2a6e0f556c225fb498cfd6a39f8ff9b7c50e11be32dd347e6a846af42efc,0.0,0.0,r24,True,d1v2-selection-R1-current-810003:r24:0:1,d1v2-selection-R1-current-810003,059856c738ab5bd31230a0ce4f2623a172216da35316fc1e60aa6b94aaccde4a,810003,R1,current
16728.0,252.0,151500.0,59.0,0.9833333333333333,0.0,2565.0,2569.0,2572.5,4056.0,7512.0,11676.0,16440.0,7472.0,0,0,0,0,14886.0,12361.0,0.8303775359398092,spt_flat,4.0,697,e9ca84293cb8f12ddad5e9716c88e004a3f13a55b13aa1d2889876c8b09ef079,0.0,0.0,r24,True,d1v2-selection-R1-current-810003:r24:1:697,d1v2-selection-R1-current-810003,059856c738ab5bd31230a0ce4f2623a172216da35316fc1e60aa6b94aaccde4a,810003,R1,current
48.0,7559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2441.0,0,0,0,0,2441.0,0,0.0,spt_flat,2.0,2,994da4660796770cbd0fbceb642bc0e9a4dc4cb024581aa258bd38044140bf6c,0.0,0.0,downstream,True,d1v2-selection-R1-current-810003:downstream:0:2,d1v2-selection-R1-current-810003,059856c738ab5bd31230a0ce4f2623a172216da35316fc1e60aa6b94aaccde4a,810003,R1,current
16704.0,252.0,148983.0,58.0,0.9666666666666667,0.0,2565.0,2569.0,2572.75,4146.0,7524.0,11862.0,16416.0,4893.0,0,0,0,0,14862.0,12449.0,0.837639617817252,spt_flat,3.0,696,aff80b8fae14a83feec135e9ec3293d0e060665dad08aa86a7a5f2ea28b16115,0.0,0.0,downstream,True,d1v2-selection-R1-current-810003:downstream:1:696,d1v2-selection-R1-current-810003,059856c738ab5bd31230a0ce4f2623a172216da35316fc1e60aa6b94aaccde4a,810003,R1,current
0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,spt_flat,0.0,0,29e49acdb1211bacd00b799607cd9b125d749c27a60a986d206370454301500c,0.0,0.0,nominal,False,d1v2-selection-R1-current-810004:nominal:0:0,d1v2-selection-R1-current-810004,4565b277e8a5b86345c25b1d0e5889ef230af54819797df479b94ce6ddd1ed1f,810004,R1,current
