family,buffer,shifts,tape,ret_excel,placed,attended,lost,fill_qty,backlog_auc_qty_weeks,backlog_peak_qty,shift_hours_per_week,warmup_hours
R1,I1344,1,700006,0.009180046655847362,696,694,0,0.9971842461303394,2422.0,2422.0,48.0,74.0
R1,I1344,2,700006,0.009184817897074439,696,694,0,0.9957892761749189,0.0,0.0,96.0,50.0
R1,I1344,3,700006,0.009086481638024576,696,694,0,0.9971847309875518,17577.0,7524.0,144.0,50.0
R1,B0,1,700007,0.005642639954048897,696,472,166,0.6828134016206739,18053009.0,154980.0,48.0,963.0
R1,B0,2,700007,0.0089196015558605,696,694,0,0.9971921014465149,1597659.0,80757.0,96.0,927.0
R1,B0,3,700007,0.008716962314921263,696,694,0,0.9971922146062255,1582498.0,80757.0,144.0,933.0
R1,I168,1,700007,0.008634303815587127,696,694,0,0.9971916533685251,239008.0,29983.0,48.0,73.0
R1,I168,2,700007,0.008945861417439641,696,694,0,0.9971867321731416,81187.0,17504.0,96.0,50.0
R1,I168,3,700007,0.0091654853763734,696,694,0,0.997191302868781,0.0,0.0,144.0,47.0
R1,I336,1,700007,0.00864311588697639,696,694,0,0.9971916533685251,236432.0,29983.0,48.0,73.0
R1,I336,2,700007,0.008874944135189796,696,694,0,0.9971875069123405,143020.0,20432.0,96.0,50.0
R1,I336,3,700007,0.009163495592369977,696,687,0,0.9874491403343031,35237.0,17783.0,144.0,47.0
R1,I504,1,700007,0.00864311588697639,696,694,0,0.9971916533685251,236432.0,29983.0,48.0,73.0
R1,I504,2,700007,0.0092267249863718,696,694,0,0.9971912175569336,0.0,0.0,96.0,50.0
R1,I504,3,700007,0.008684488537941052,696,694,0,0.9971915060452198,352236.0,32617.0,144.0,47.0
R1,I672,1,700007,0.00864311588697639,696,694,0,0.9971916533685251,236432.0,29983.0,48.0,73.0
R1,I672,2,700007,0.009230745006640296,696,694,0,0.9971915479176261,0.0,0.0,96.0,50.0
R1,I672,3,700007,0.008991565970660963,696,694,0,0.9971921510518944,103930.0,19839.0,144.0,47.0
R1,I1344,1,700007,0.00864311588697639,696,694,0,0.9971916533685251,236432.0,29983.0,48.0,73.0
R1,I1344,2,700007,0.009230745006640296,696,694,0,0.9971915479176261,0.0,0.0,96.0,50.0
R1,I1344,3,700007,0.0089587760088114,696,694,0,0.9971918735492818,142050.0,22631.0,144.0,47.0
