seed,algo,reward_mode,reward_family,w_bo,w_cost,w_disr,episode_index,timesteps,progress_fraction,episode_reward,episode_length,time_elapsed_seconds
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,116,1160,0.58,3.194817,10,2.67156
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,117,1170,0.585,1.599061,10,2.686694
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,118,1180,0.59,2.480809,10,2.701366
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,119,1190,0.595,2.713889,10,2.716724
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,120,1200,0.6,1.763524,10,2.731527
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,121,1210,0.605,0.671978,10,2.744816
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,122,1220,0.61,2.484343,10,2.759607
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,123,1230,0.615,2.119164,10,2.774504
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,124,1240,0.62,2.2069,10,2.789803
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,125,1250,0.625,1.900066,10,2.806697
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,126,1260,0.63,1.947037,10,2.820235
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,127,1270,0.635,2.65901,10,2.835978
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,128,1280,0.64,2.613782,10,2.848978
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,129,1290,0.645,2.791233,10,2.864222
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,130,1300,0.65,1.540038,10,2.880155
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,131,1310,0.655,1.777694,10,2.89411
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,132,1320,0.66,1.185593,10,2.910651
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,133,1330,0.665,2.930247,10,2.924544
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,134,1340,0.67,2.315103,10,2.938929
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,135,1350,0.675,2.146636,10,2.952752
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,136,1360,0.68,1.298407,10,2.966613
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,137,1370,0.685,0.72597,10,2.980428
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,138,1380,0.69,1.94721,10,2.994779
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,139,1390,0.695,1.487762,10,3.009445
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,140,1400,0.7,0.67174,10,3.022859
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,141,1410,0.705,2.207783,10,3.038302
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,142,1420,0.71,2.45513,10,3.052459
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,143,1430,0.715,2.700996,10,3.06783
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,144,1440,0.72,1.230284,10,3.081904
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,145,1450,0.725,1.73979,10,3.095218
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,146,1460,0.73,1.677604,10,3.110313
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,147,1470,0.735,1.876191,10,3.124472
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,148,1480,0.74,1.488892,10,3.139009
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,149,1490,0.745,1.527656,10,3.153259
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,150,1500,0.75,1.836449,10,3.16917
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,151,1510,0.755,2.181714,10,3.183012
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,152,1520,0.76,2.561651,10,3.195629
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,153,1530,0.765,1.229352,10,3.210511
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,154,1540,0.77,2.332327,10,3.225323
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,155,1550,0.775,3.147256,10,3.239904
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,156,1560,0.78,1.431285,10,3.254787
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,157,1570,0.785,2.209465,10,3.269171
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,158,1580,0.79,2.154909,10,3.283587
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,159,1590,0.795,4.325935,10,3.298116
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,160,1600,0.8,1.468549,10,3.310453
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,161,1610,0.805,3.476672,10,3.324342
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,162,1620,0.81,1.299211,10,3.338266
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,163,1630,0.815,1.216807,10,3.353168
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,164,1640,0.82,1.201269,10,3.366719
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,165,1650,0.825,0.328927,10,3.380025
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,166,1660,0.83,3.198393,10,3.395384
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,167,1670,0.835,0.594826,10,3.406441
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,168,1680,0.84,1.20445,10,3.420742
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,169,1690,0.845,2.515188,10,3.436123
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,170,1700,0.85,1.975442,10,3.451015
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,171,1710,0.855,2.030166,10,3.464794
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,172,1720,0.86,2.93256,10,3.47933
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,173,1730,0.865,1.908494,10,3.494079
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,174,1740,0.87,2.011586,10,3.507187
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,175,1750,0.875,2.874733,10,3.522987
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,176,1760,0.88,2.246469,10,3.537422
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,177,1770,0.885,1.899767,10,3.552066
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,178,1780,0.89,2.815872,10,3.56681
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,179,1790,0.895,2.56649,10,3.581069
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,180,1800,0.9,2.448865,10,3.596145
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,181,1810,0.905,2.939939,10,3.610449
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,182,1820,0.91,1.903768,10,3.625757
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,183,1830,0.915,1.418503,10,3.638682
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,184,1840,0.92,1.11959,10,3.651824
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,185,1850,0.925,1.638251,10,3.667485
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,186,1860,0.93,3.268239,10,3.681856
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,187,1870,0.935,2.800706,10,3.697441
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,188,1880,0.94,1.717049,10,3.711258
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,189,1890,0.945,1.442531,10,3.725862
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,190,1900,0.95,2.01727,10,3.741145
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,191,1910,0.955,0.753766,10,3.753775
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,192,1920,0.96,1.84459,10,3.768993
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,193,1930,0.965,0.303923,10,3.781262
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,194,1940,0.97,3.296905,10,3.796192
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,195,1950,0.975,2.180948,10,3.809632
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,196,1960,0.98,2.10853,10,3.824669
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,197,1970,0.985,2.842418,10,3.838457
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,198,1980,0.99,1.3544,10,3.853134
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,199,1990,0.995,3.140847,10,3.86819
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,200,2000,1.0,1.712374,10,3.882076
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,201,2010,1.0,1.481705,10,3.8955
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,202,2020,1.0,1.506964,10,3.908969
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,203,2030,1.0,1.655738,10,3.924565
1,ppo,ReT_cd_v1,resilience_index,1.0,0.02,0.0,204,2040,1.0,1.593615,10,3.937778
