phase,policy,w_bo,w_cost,w_disr,seed_count,reward_total_mean,reward_total_std,reward_total_ci95_low,reward_total_ci95_high,service_loss_total_mean,service_loss_total_std,service_loss_total_ci95_low,service_loss_total_ci95_high,shift_cost_total_mean,shift_cost_total_std,shift_cost_total_ci95_low,shift_cost_total_ci95_high,mean_disruption_fraction_mean,mean_disruption_fraction_std,mean_disruption_fraction_ci95_low,mean_disruption_fraction_ci95_high,fill_rate_mean,fill_rate_std,fill_rate_ci95_low,fill_rate_ci95_high,backorder_rate_mean,backorder_rate_std,backorder_rate_ci95_low,backorder_rate_ci95_high,ret_thesis_corrected_total_mean,ret_thesis_corrected_total_std,ret_thesis_corrected_total_ci95_low,ret_thesis_corrected_total_ci95_high,pct_steps_S1_mean,pct_steps_S1_std,pct_steps_S1_ci95_low,pct_steps_S1_ci95_high,pct_steps_S2_mean,pct_steps_S2_std,pct_steps_S2_ci95_low,pct_steps_S2_ci95_high,pct_steps_S3_mean,pct_steps_S3_std,pct_steps_S3_ci95_low,pct_steps_S3_ci95_high
static_screen,static_s2,4.0,0.06,0.0,3,-189.97969529300872,8.748226028058305,-199.87924497138178,-180.08014561463565,43.59492382325212,2.1870565070145687,41.12003640365886,46.069811242845375,260.0,0.0,260.0,260.0,0.07448794003174465,0.0017227288623659145,0.07253848880578637,0.07643739125770294,0.8273708416241904,0.008590483620083422,0.8176497942843629,0.8370918889640179,0.17262915837580958,0.008590483620083338,0.16290811103598218,0.18235020571563698,242.872083626267,0.37739246795680265,242.4450238460556,243.2991434064784,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
static_screen,static_s2,4.0,0.1,0.0,3,-200.37969529300798,8.748226028058305,-210.27924497138105,-190.48014561463492,43.59492382325212,2.1870565070145687,41.12003640365886,46.069811242845375,260.0,0.0,260.0,260.0,0.07448794003174465,0.0017227288623659145,0.07253848880578637,0.07643739125770294,0.8273708416241904,0.008590483620083422,0.8176497942843629,0.8370918889640179,0.17262915837580958,0.008590483620083338,0.16290811103598218,0.18235020571563698,242.872083626267,0.37739246795680265,242.4450238460556,243.2991434064784,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
static_screen,static_s3,1.0,0.02,0.0,3,-53.279532353614506,1.5113281570322001,-54.98976116147546,-51.569303545753556,42.8795323536146,1.5113281570321906,41.169303545753664,44.589761161475536,520.0,0.0,520.0,520.0,0.07430252930454063,0.0026457489826454228,0.07130858248535715,0.07729647612372412,0.8302937020347744,0.0055727277063539376,0.8239875669856619,0.8365998370838869,0.16970629796522566,0.005572727706353918,0.16340016291611317,0.17601243301433814,242.92607395326226,0.4989212197811871,242.3614914441939,243.49065646233063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
static_screen,static_s3,1.0,0.06,0.0,3,-74.07953235361455,1.5113281570322128,-75.78976116147551,-72.3693035457536,42.8795323536146,1.5113281570321906,41.169303545753664,44.589761161475536,520.0,0.0,520.0,520.0,0.07430252930454063,0.0026457489826454228,0.07130858248535715,0.07729647612372412,0.8302937020347744,0.0055727277063539376,0.8239875669856619,0.8365998370838869,0.16970629796522566,0.005572727706353918,0.16340016291611317,0.17601243301433814,242.92607395326226,0.4989212197811871,242.3614914441939,243.49065646233063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
static_screen,static_s3,1.0,0.1,0.0,3,-94.87953235361482,1.5113281570321933,-96.58976116147576,-93.16930354575388,42.8795323536146,1.5113281570321906,41.169303545753664,44.589761161475536,520.0,0.0,520.0,520.0,0.07430252930454063,0.0026457489826454228,0.07130858248535715,0.07729647612372412,0.8302937020347744,0.0055727277063539376,0.8239875669856619,0.8365998370838869,0.16970629796522566,0.005572727706353918,0.16340016291611317,0.17601243301433814,242.92607395326226,0.4989212197811871,242.3614914441939,243.49065646233063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
static_screen,static_s3,2.0,0.02,0.0,3,-96.15906470722943,3.022656314064417,-99.57952232295135,-92.73860709150752,42.8795323536146,1.5113281570321906,41.169303545753664,44.589761161475536,520.0,0.0,520.0,520.0,0.07430252930454063,0.0026457489826454228,0.07130858248535715,0.07729647612372412,0.8302937020347744,0.0055727277063539376,0.8239875669856619,0.8365998370838869,0.16970629796522566,0.005572727706353918,0.16340016291611317,0.17601243301433814,242.92607395326226,0.4989212197811871,242.3614914441939,243.49065646233063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
static_screen,static_s3,2.0,0.06,0.0,3,-116.95906470722939,3.0226563140643856,-120.37952232295126,-113.53860709150752,42.8795323536146,1.5113281570321906,41.169303545753664,44.589761161475536,520.0,0.0,520.0,520.0,0.07430252930454063,0.0026457489826454228,0.07130858248535715,0.07729647612372412,0.8302937020347744,0.0055727277063539376,0.8239875669856619,0.8365998370838869,0.16970629796522566,0.005572727706353918,0.16340016291611317,0.17601243301433814,242.92607395326226,0.4989212197811871,242.3614914441939,243.49065646233063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
static_screen,static_s3,2.0,0.1,0.0,3,-137.75906470722933,3.0226563140643665,-141.1795223229512,-134.33860709150747,42.8795323536146,1.5113281570321906,41.169303545753664,44.589761161475536,520.0,0.0,520.0,520.0,0.07430252930454063,0.0026457489826454228,0.07130858248535715,0.07729647612372412,0.8302937020347744,0.0055727277063539376,0.8239875669856619,0.8365998370838869,0.16970629796522566,0.005572727706353918,0.16340016291611317,0.17601243301433814,242.92607395326226,0.4989212197811871,242.3614914441939,243.49065646233063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
static_screen,static_s3,4.0,0.02,0.0,3,-181.91812941445835,6.045312628128738,-188.75904464590207,-175.07721418301463,42.8795323536146,1.5113281570321906,41.169303545753664,44.589761161475536,520.0,0.0,520.0,520.0,0.07430252930454063,0.0026457489826454228,0.07130858248535715,0.07729647612372412,0.8302937020347744,0.0055727277063539376,0.8239875669856619,0.8365998370838869,0.16970629796522566,0.005572727706353918,0.16340016291611317,0.17601243301433814,242.92607395326226,0.4989212197811871,242.3614914441939,243.49065646233063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
static_screen,static_s3,4.0,0.06,0.0,3,-202.71812941445876,6.045312628128797,-209.55904464590253,-195.87721418301498,42.8795323536146,1.5113281570321906,41.169303545753664,44.589761161475536,520.0,0.0,520.0,520.0,0.07430252930454063,0.0026457489826454228,0.07130858248535715,0.07729647612372412,0.8302937020347744,0.0055727277063539376,0.8239875669856619,0.8365998370838869,0.16970629796522566,0.005572727706353918,0.16340016291611317,0.17601243301433814,242.92607395326226,0.4989212197811871,242.3614914441939,243.49065646233063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0
